year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2161145,2169774,5299760,4957503,490484,23.290,362824,17.229,2052392,1265983,786409,25.537,41.400,1359283,905320,453963,18.262,27.419,693109,13.981,54.837,293010,293897,747685
1978,b) 5 to 9,664018,683318,4939858,4643968,45014,6.675,27025,4.008,1359370,512431,846939,11.034,29.272,770266,320328,449938,6.898,16.586,589104,12.685,33.173,20151,21109,266437
1978,c) 10 to 19,387792,427275,5717342,5403386,23130,5.468,14554,3.441,1381595,428231,953364,7.925,25.569,754213,274732,479481,5.084,13.958,627382,11.611,27.916,8146,9211,218201
1978,d) 20 to 99,304365,429805,12684778,12018456,28401,6.671,20295,4.767,2826367,748790,2077577,6.230,23.517,1495388,522870,972518,4.351,12.442,1330979,11.074,24.885,4607,6103,334949
1978,e) 100 to 499,45754,164849,9035205,8675623,16360,9.970,14860,9.056,1893199,479707,1413492,5.529,21.822,1175922,408937,766985,4.714,13.554,717277,8.268,27.109,385,980,136085
1978,f) 500 to 999,5624,53404,3440170,3349336,5523,10.409,4831,9.105,637942,160279,477663,4.785,19.047,455866,171010,284856,5.106,13.611,182076,5.436,27.221,32,94,42878
1978,g) 1000 to 2499,3520,66303,4477857,4381284,6240,9.412,6236,9.406,725015,196449,528566,4.484,16.548,532360,212992,319368,4.861,12.151,192655,4.397,24.302,13,78,38307
1978,h) 2500 to 4999,1400,57127,3389186,3324433,4905,8.611,4577,8.035,533808,154797,379011,4.656,16.057,404353,146716,257637,4.413,12.163,129455,3.894,24.326,D,D,D
1978,i) 5000 to 9999,851,50635,3589292,3498582,4313,8.606,3276,6.537,571729,146711,425018,4.193,16.342,389093,115449,273644,3.300,11.121,182636,5.220,22.243,D,D,D
1978,j) 10000+,742,222539,17567664,17305925,16035,7.240,13917,6.284,2260999,500363,1760636,2.891,13.065,1734026,486006,1248020,2.808,10.020,526973,3.045,20.040,D,D,D
1979,a) 1 to 4,2185998,2193674,5308660,5098333,480820,22.511,365282,17.102,1951468,1250251,701217,24.523,38.277,1531016,946200,584816,18.559,30.030,420452,8.247,60.059,292426,293508,770387
1979,b) 5 to 9,704073,723912,5143332,4978167,40395,5.611,32369,4.496,1308128,489460,818668,9.832,26.277,980630,384795,595835,7.730,19.699,327498,6.579,39.397,23296,24319,307690
1979,c) 10 to 19,417547,456794,6058303,5866520,18749,4.117,16074,3.529,1320737,389582,931155,6.641,22.513,936914,320830,616084,5.469,15.971,383823,6.543,31.941,9260,10139,246722
1979,d) 20 to 99,332595,460218,13695633,13252595,21449,4.686,16515,3.608,2626974,608878,2018096,4.594,19.822,1738803,514831,1223972,3.885,13.120,888171,6.702,26.241,4721,5757,335848
1979,e) 100 to 499,49853,176978,9780666,9480653,14425,8.277,9036,5.185,1724350,414816,1309534,4.375,18.188,1123849,297397,826452,3.137,11.854,600501,6.334,23.708,313,689,101050
1979,f) 500 to 999,5866,54961,3642656,3548840,4703,8.673,3236,5.967,560996,148373,412623,4.181,15.808,371318,102891,268427,2.899,10.463,189678,5.345,20.926,17,128,23335
1979,g) 1000 to 2499,3594,71594,4731314,4571816,7095,10.156,3633,5.200,695917,190284,505633,4.162,15.222,379822,96474,283348,2.110,8.308,316095,6.914,16.616,D,D,D
1979,h) 2500 to 4999,1435,54949,3523925,3397267,6692,12.608,2950,5.558,564032,190836,373196,5.617,16.603,314467,94453,220014,2.780,9.256,249565,7.346,18.513,0,0,0
1979,i) 5000 to 9999,851,57314,3965984,3868610,4238,7.452,3353,5.896,565248,133617,431631,3.454,14.611,370881,95413,275468,2.466,9.587,194367,5.024,19.174,0,0,0
