GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|COMPANY|COMPANY_F|RCPTOT|RCPTOT_F|CCORCPPCT|CCORCPPCT_F|VSHERFI|VSHERFI_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311|Food mfg|004|All companies|||2002|Reference year 2002|23334||458247704||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311|Food mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|16.8||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311|Food mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|25.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311|Food mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|39.8||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311|Food mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|53.1||118.7|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3111|Animal food mfg|004|All companies|||2002|Reference year 2002|1211||27985648||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3111|Animal food mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|29.8||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3111|Animal food mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|40.9||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3111|Animal food mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|59||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3111|Animal food mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|73||364.9|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31111|Animal food mfg|004|All companies|||2002|Reference year 2002|1211||27985648||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31111|Animal food mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|29.8||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31111|Animal food mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|40.9||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31111|Animal food mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|59||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31111|Animal food mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|73||364.9|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311111|Dog & cat food mfg|004|All companies|||2002|Reference year 2002|176||10624932||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311111|Dog & cat food mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|64.2||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311111|Dog & cat food mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|81.3||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311111|Dog & cat food mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|93.2||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311111|Dog & cat food mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|98||1845.4|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311119|Other animal food mfg|004|All companies|||2002|Reference year 2002|1043||17360716||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311119|Other animal food mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|26.1||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311119|Other animal food mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|37.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311119|Other animal food mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|54.3||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311119|Other animal food mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|66.8||256|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3112|Grain & oilseed milling|004|All companies|||2002|Reference year 2002|506||47198757||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3112|Grain & oilseed milling|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|47.3||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3112|Grain & oilseed milling|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|60.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3112|Grain & oilseed milling|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|75.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|3112|Grain & oilseed milling|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|88.2||685.5|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31121|Flour milling & malt mfg|004|All companies|||2002|Reference year 2002|285||9048106||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31121|Flour milling & malt mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|41.5||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31121|Flour milling & malt mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|54.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31121|Flour milling & malt mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|72.9||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31121|Flour milling & malt mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|89.7||529.5|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311211|Flour milling|004|All companies|||2002|Reference year 2002|211||6840797||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311211|Flour milling|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|53.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311211|Flour milling|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|67.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311211|Flour milling|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|82.1||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311211|Flour milling|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|94.4||812.3|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311212|Rice milling|004|All companies|||2002|Reference year 2002|62||1728419||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311212|Rice milling|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|53.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311212|Rice milling|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|72.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311212|Rice milling|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|89.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311212|Rice milling|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|99.6||1039|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311213|Malt mfg|004|All companies|||2002|Reference year 2002|16||478890||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311213|Malt mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|91.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311213|Malt mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|98.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311213|Malt mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|100||2192.4|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311213|Malt mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|0||0|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|004|All companies|||2002|Reference year 2002|191||29048124||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|58.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|69.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|86.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|96.2||1117.1|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311221|Wet corn milling|004|All companies|||2002|Reference year 2002|35||7961922||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311221|Wet corn milling|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|68.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311221|Wet corn milling|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|90.2||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311221|Wet corn milling|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|99.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311221|Wet corn milling|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|100||1524.2|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311222|Soybean processing|004|All companies|||2002|Reference year 2002|62||12766864||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311222|Soybean processing|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|79.9||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311222|Soybean processing|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|89.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311222|Soybean processing|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|97.9||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311222|Soybean processing|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|99.9||1817.9|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311223|Other oilseed processing|004|All companies|||2002|Reference year 2002|34||1129107||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311223|Other oilseed processing|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|57.5||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311223|Other oilseed processing|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|76.6||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311223|Other oilseed processing|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|97.5||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311223|Other oilseed processing|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|100||1069|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311225|Fats & oils refining & blending|004|All companies|||2002|Reference year 2002|77||7190231||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311225|Fats & oils refining & blending|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|48.2||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311225|Fats & oils refining & blending|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|74.3||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311225|Fats & oils refining & blending|858|20 largest companies|||2002|Reference year 2002|0|X|0|X|92.7||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|311225|Fats & oils refining & blending|859|50 largest companies|||2002|Reference year 2002|0|X|0|X|99.5||850.6|
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31123|Breakfast cereal mfg|004|All companies|||2002|Reference year 2002|45||9102527||100||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31123|Breakfast cereal mfg|856|4 largest companies|||2002|Reference year 2002|0|X|0|X|78.4||0|X
01|United States|00|01000US|United States|EC|2002 Economic Census|31|Manufacturing|31123|Breakfast cereal mfg|857|8 largest companies|||2002|Reference year 2002|0|X|0|X|91.1||0|X
