GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|42|Wholesale trade|00|Wholesale Trade|001|All firms|||2002|Reference year 2002|435521||4634755112||100||259653080||64120353||5878405|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|42|Wholesale trade|00|Wholesale Trade|804|4 largest firms|||2002|Reference year 2002|322||345885753||7.5||2023562||528956||52597|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|42|Wholesale trade|00|Wholesale Trade|808|8 largest firms|||2002|Reference year 2002|877||536298418||11.6||3123535||790225||78411|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|42|Wholesale trade|00|Wholesale Trade|820|20 largest firms|||2002|Reference year 2002|2383||865686066||18.7||12210750||3125433||244419|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|42|Wholesale trade|00|Wholesale Trade|850|50 largest firms|||2002|Reference year 2002|5120||1262629425||27.2||25709753||6959552||481461|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|423|Durable goods merchant wholesalers|00|Wholesale Trade|001|All firms|||2002|Reference year 2002|260445||2171265591||100||157156665||39213676||3356985|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|423|Durable goods merchant wholesalers|00|Wholesale Trade|804|4 largest firms|||2002|Reference year 2002|253||321116087||14.8||1648281||437639||26482|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|423|Durable goods merchant wholesalers|00|Wholesale Trade|808|8 largest firms|||2002|Reference year 2002|696||429788544||19.8||5203048||1378129||71150|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|423|Durable goods merchant wholesalers|00|Wholesale Trade|820|20 largest firms|||2002|Reference year 2002|1647||572758132||26.4||12369233||3561734||176408|
01|United States|00|01000US|United States|EC|2002 Economic Census|42|Wholesale trade|423|Durable goods merchant wholesalers|00|Wholesale Trade|850|50 largest firms|||2002|Reference year 2002|5667||754540113||34.8||24019012||6689442||351691|
