GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VALPCT|VALPCT_F|PAYANT|PAYANT_F|PAYQ1T|PAYQ1T_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|72|Accommodation & food services|001|All firms|||2002|Reference year 2002|565590||449498718||100||127554483||30334373||10120951|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|72|Accommodation & food services|804|4 largest firms|||2002|Reference year 2002|7829||23005624||5.1||6134254||1468749||428249|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|72|Accommodation & food services|808|8 largest firms|||2002|Reference year 2002|13324||39954047||8.9||10621543||2577692||660413|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|72|Accommodation & food services|820|20 largest firms|||2002|Reference year 2002|32195||74357926||16.5||21273696||5119574||1340406|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|72|Accommodation & food services|850|50 largest firms|||2002|Reference year 2002|41865||103857717||23.1||29684681||7141643||1864623|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|721|Accommodation|001|All firms|||2002|Reference year 2002|60949||128098210||100||34955244||8291615||1813326|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|721|Accommodation|804|4 largest firms|||2002|Reference year 2002|1133||21500395||16.8||5699621||1396091||252652|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|721|Accommodation|808|8 largest firms|||2002|Reference year 2002|1461||34312196||26.8||9738624||2379287||399387|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|721|Accommodation|820|20 largest firms|||2002|Reference year 2002|3153||48053660||37.5||13270978||3207008||554299|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|721|Accommodation|850|50 largest firms|||2002|Reference year 2002|4914||61092252||47.7||16665066||4022237||717976|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|7211|Traveler accommodation|001|All firms|||2002|Reference year 2002|50982||123899931||100||33910089||8096878||1761303|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|7211|Traveler accommodation|804|4 largest firms|||2002|Reference year 2002|1133||21500395||17.4||5699621||1396091||252652|
01|United States|00|01000US|United States|EC|2002 Economic Census|72|Accommodation and food services|7211|Traveler accommodation|808|8 largest firms|||2002|Reference year 2002|1461||34312196||27.7||9738624||2379287||399387|
