GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22|Utilities|001|All firms|||2007|Reference year 2007|16578||584192658||100||51653618||15287321||637247|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22|Utilities|804|4 largest firms|||2007|Reference year 2007|1008||73081465||12.5||6636379||2456202||66701|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22|Utilities|808|8 largest firms|||2007|Reference year 2007|1421||129090160||22.1||12978831||4338519||137513|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22|Utilities|820|20 largest firms|||2007|Reference year 2007|4172||259902516||44.5||25476358||7993750||278085|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22|Utilities|850|50 largest firms|||2007|Reference year 2007|6920||409519753||70.1||37094937||11376496||418283|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|221|Utilities|001|All firms|||2007|Reference year 2007|16578||584192658||100||51653618||15287321||637247|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|221|Utilities|804|4 largest firms|||2007|Reference year 2007|1008||73081465||12.5||6636379||2456202||66701|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|221|Utilities|808|8 largest firms|||2007|Reference year 2007|1421||129090160||22.1||12978831||4338519||137513|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|221|Utilities|820|20 largest firms|||2007|Reference year 2007|4172||259902516||44.5||25476358||7993750||278085|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|221|Utilities|850|50 largest firms|||2007|Reference year 2007|6920||409519753||70.1||37094937||11376496||418283|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|2211|Electric power generation, transmission and distribution|001|All firms|||2007|Reference year 2007|9554||445693484||100||43618314||13002243||511487|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|2211|Electric power generation, transmission and distribution|804|4 largest firms|||2007|Reference year 2007|770||66671244||15||6784004||2484347||67129|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|2211|Electric power generation, transmission and distribution|808|8 largest firms|||2007|Reference year 2007|1176||119303717||26.8||12534945||4135572||130510|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|2211|Electric power generation, transmission and distribution|820|20 largest firms|||2007|Reference year 2007|3860||238954814||53.6||24006287||7461540||259388|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|2211|Electric power generation, transmission and distribution|850|50 largest firms|||2007|Reference year 2007|5784||343709798||77.1||34701869||10659688||384056|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22111|Electric power generation|001|All firms|||2007|Reference year 2007|1934||120967538||100||11297132||3256647||122793|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22111|Electric power generation|804|4 largest firms|||2007|Reference year 2007|130||25495866||21.1||1854015||580106||17047|
01|United States|00|01000US|United States|EC|Economic Census|22|Utilities|22111|Electric power generation|808|8 largest firms|||2007|Reference year 2007|411||43541393||36||3733164||1160438||36148|
