GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|OPTAX|OPTAX_MEANING|CONCENFI|CONCENFI_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F 
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811412|Appliance repair and maintenance|A|All establishments|820|20 largest firms|||2007|Reference year 2007|554||969713||45.9||335877||76072||11402|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811412|Appliance repair and maintenance|A|All establishments|850|50 largest firms|||2007|Reference year 2007|589||1062308||50.3||365373||83089||12075|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81142|Reupholstery and furniture repair|A|All establishments|001|All firms|||2007|Reference year 2007|4693||1152813||100||389298||94440||16142|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81142|Reupholstery and furniture repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|4||30406||2.6||12955||3185||510|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81142|Reupholstery and furniture repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8||45415||3.9||17707||4119||604|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81142|Reupholstery and furniture repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|20||80638||7||30323||7067||973|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81142|Reupholstery and furniture repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|50||143264||12.4||53373||12199||1565|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811420|Reupholstery and furniture repair|A|All establishments|001|All firms|||2007|Reference year 2007|4693||1152813||100||389298||94440||16142|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811420|Reupholstery and furniture repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|4||30406||2.6||12955||3185||510|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811420|Reupholstery and furniture repair|A|All establishments|808|8 largest firms|||2007|Reference year 2007|8||45415||3.9||17707||4119||604|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811420|Reupholstery and furniture repair|A|All establishments|820|20 largest firms|||2007|Reference year 2007|20||80638||7||30323||7067||973|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|811420|Reupholstery and furniture repair|A|All establishments|850|50 largest firms|||2007|Reference year 2007|50||143264||12.4||53373||12199||1565|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81143|Footwear and leather goods repair|A|All establishments|001|All firms|||2007|Reference year 2007|1060||173343||100||45964||11214||2309|
01|United States|00|01000US|United States|EC|Economic Census|81|Other services (except public administration)|81143|Footwear and leather goods repair|A|All establishments|804|4 largest firms|||2007|Reference year 2007|24||24381||14.1||4391||999||123|
