GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|SECTOR|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|CONCENFI|CONCENFI_TTL|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States||52|52|Finance and insurance||001|All firms|2012|468183||3636114357||100.0||523553280||163717728||6040880|
01|00|0100000US|United States||52|52|Finance and insurance||804|4 largest firms|2012|14388||381945617||10.5||32107695||10515708||396841|
01|00|0100000US|United States||52|52|Finance and insurance||808|8 largest firms|2012|37341||653313904||18.0||77007313||28383277||897646|
01|00|0100000US|United States||52|52|Finance and insurance||820|20 largest firms|2012|51479||1147874969||31.6||113454839||40534236||1312935|
01|00|0100000US|United States||52|52|Finance and insurance||850|50 largest firms|2012|69324||1762661146||48.5||183194102||66753625||1967021|
01|00|0100000US|United States||52|521|Monetary authorities - central bank||001|All firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|521|Monetary authorities - central bank||804|4 largest firms|2012|34||78834001||78.7||1003969||230413||8630|
01|00|0100000US|United States||52|521|Monetary authorities - central bank||808|8 largest firms|2012|44||92943012||92.8||1393373||322737||13119|
01|00|0100000US|United States||52|521|Monetary authorities - central bank||820|20 largest firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|521|Monetary authorities - central bank||850|50 largest firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|5211|Monetary authorities - central bank||001|All firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|5211|Monetary authorities - central bank||804|4 largest firms|2012|34||78834001||78.7||1003969||230413||8630|
01|00|0100000US|United States||52|5211|Monetary authorities - central bank||808|8 largest firms|2012|44||92943012||92.8||1393373||322737||13119|
01|00|0100000US|United States||52|5211|Monetary authorities - central bank||820|20 largest firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|5211|Monetary authorities - central bank||850|50 largest firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|52111|Monetary authorities - central bank||001|All firms|2012|56||100171340||100.0||1745082||406834||17457|
01|00|0100000US|United States||52|52111|Monetary authorities - central bank||804|4 largest firms|2012|34||78834001||78.7||1003969||230413||8630|
01|00|0100000US|United States||52|52111|Monetary authorities - central bank||808|8 largest firms|2012|44||92943012||92.8||1393373||322737||13119|
