GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|SECTOR|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|OPTAX|OPTAX_TTL|CONCENFI|CONCENFI_TTL|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States||61|61|Educational services||A|All establishments|001|All firms|2012|67960||53360305||100.0||17283363||4239975||642334|
01|00|0100000US|United States||61|61|Educational services||A|All establishments|804|4 largest firms|2012|433||3752972||7.0||1010099||275072||17514|
01|00|0100000US|United States||61|61|Educational services||A|All establishments|808|8 largest firms|2012|752||5625079||10.5||1572476||416120||34241|
01|00|0100000US|United States||61|61|Educational services||A|All establishments|820|20 largest firms|2012|1194||8466305||15.9||2340009||600767||48343|
01|00|0100000US|United States||61|61|Educational services||A|All establishments|850|50 largest firms|2012|1842||12106186||22.7||3368229||859275||74728|
01|00|0100000US|United States||61|611|Educational services||A|All establishments|001|All firms|2012|67960||53360305||100.0||17283363||4239975||642334|
01|00|0100000US|United States||61|611|Educational services||A|All establishments|804|4 largest firms|2012|433||3752972||7.0||1010099||275072||17514|
01|00|0100000US|United States||61|611|Educational services||A|All establishments|808|8 largest firms|2012|752||5625079||10.5||1572476||416120||34241|
01|00|0100000US|United States||61|611|Educational services||A|All establishments|820|20 largest firms|2012|1194||8466305||15.9||2340009||600767||48343|
01|00|0100000US|United States||61|611|Educational services||A|All establishments|850|50 largest firms|2012|1842||12106186||22.7||3368229||859275||74728|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||A|All establishments|001|All firms|2012|8476||9890826||100.0||3265918||794674||59987|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||A|All establishments|804|4 largest firms|2012|55||646729||6.5||152711||38299||1826|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||A|All establishments|808|8 largest firms|2012|81||988403||10.0||210576||52138||2513|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||A|All establishments|820|20 largest firms|2012|104||1677008||17.0||423225||109066||5128|
01|00|0100000US|United States||61|6114|Business schools and computer and management training||A|All establishments|850|50 largest firms|2012|214||2592909||26.2||823445||205854||10934|
01|00|0100000US|United States||61|61141|Business and secretarial schools||A|All establishments|001|All firms|2012|161||267208||100.0||102289||25991||2871|
01|00|0100000US|United States||61|61141|Business and secretarial schools||A|All establishments|804|4 largest firms|2012|20||103291||38.7||29431||7377||809|
01|00|0100000US|United States||61|61141|Business and secretarial schools||A|All establishments|808|8 largest firms|2012|30||141472||52.9||50077||12475||1308|
01|00|0100000US|United States||61|61141|Business and secretarial schools||A|All establishments|820|20 largest firms|2012|46||196832||73.7||72627||18868||1902|
01|00|0100000US|United States||61|61141|Business and secretarial schools||A|All establishments|850|50 largest firms|2012|79||251633||94.2||96382||24588||2607|
01|00|0100000US|United States||61|611410|Business and secretarial schools||A|All establishments|001|All firms|2012|161||267208||100.0||102289||25991||2871|
01|00|0100000US|United States||61|611410|Business and secretarial schools||A|All establishments|804|4 largest firms|2012|20||103291||38.7||29431||7377||809|
01|00|0100000US|United States||61|611410|Business and secretarial schools||A|All establishments|808|8 largest firms|2012|30||141472||52.9||50077||12475||1308|
01|00|0100000US|United States||61|611410|Business and secretarial schools||A|All establishments|820|20 largest firms|2012|46||196832||73.7||72627||18868||1902|
01|00|0100000US|United States||61|611410|Business and secretarial schools||A|All establishments|850|50 largest firms|2012|79||251633||94.2||96382||24588||2607|
01|00|0100000US|United States||61|61142|Computer training||A|All establishments|001|All firms|2012|1664||1952519||100.0||594128||145025||11542|
01|00|0100000US|United States||61|61142|Computer training||A|All establishments|804|4 largest firms|2012|10||367384||18.8||58601||12998||775|
01|00|0100000US|United States||61|61142|Computer training||A|All establishments|808|8 largest firms|2012|28||528297||27.1||111551||26967||1633|
01|00|0100000US|United States||61|61142|Computer training||A|All establishments|820|20 largest firms|2012|56||740300||37.9||163053||42006||2503|
01|00|0100000US|United States||61|61142|Computer training||A|All establishments|850|50 largest firms|2012|100||1003668||51.4||256473||63307||3846|
01|00|0100000US|United States||61|611420|Computer training||A|All establishments|001|All firms|2012|1664||1952519||100.0||594128||145025||11542|
01|00|0100000US|United States||61|611420|Computer training||A|All establishments|804|4 largest firms|2012|10||367384||18.8||58601||12998||775|
01|00|0100000US|United States||61|611420|Computer training||A|All establishments|808|8 largest firms|2012|28||528297||27.1||111551||26967||1633|
01|00|0100000US|United States||61|611420|Computer training||A|All establishments|820|20 largest firms|2012|56||740300||37.9||163053||42006||2503|
01|00|0100000US|United States||61|611420|Computer training||A|All establishments|850|50 largest firms|2012|100||1003668||51.4||256473||63307||3846|
01|00|0100000US|United States||61|61143|Professional and management development training||A|All establishments|001|All firms|2012|6651||7671099||100.0||2569501||623658||45574|
01|00|0100000US|United States||61|61143|Professional and management development training||A|All establishments|804|4 largest firms|2012|67||595773||7.8||159561||40393||1927|
01|00|0100000US|United States||61|61143|Professional and management development training||A|All establishments|808|8 largest firms|2012|78||897055||11.7||240754||64108||2859|
01|00|0100000US|United States||61|61143|Professional and management development training||A|All establishments|820|20 largest firms|2012|129||1439168||18.8||435941||112045||5303|
01|00|0100000US|United States||61|61143|Professional and management development training||A|All establishments|850|50 largest firms|2012|175||2196725||28.6||763674||188586||9373|
01|00|0100000US|United States||61|611430|Professional and management development training||A|All establishments|001|All firms|2012|6651||7671099||100.0||2569501||623658||45574|
01|00|0100000US|United States||61|611430|Professional and management development training||A|All establishments|804|4 largest firms|2012|67||595773||7.8||159561||40393||1927|
01|00|0100000US|United States||61|611430|Professional and management development training||A|All establishments|808|8 largest firms|2012|78||897055||11.7||240754||64108||2859|
01|00|0100000US|United States||61|611430|Professional and management development training||A|All establishments|820|20 largest firms|2012|129||1439168||18.8||435941||112045||5303|
01|00|0100000US|United States||61|611430|Professional and management development training||A|All establishments|850|50 largest firms|2012|175||2196725||28.6||763674||188586||9373|
01|00|0100000US|United States||61|6115|Technical and trade schools||A|All establishments|001|All firms|2012|8201||13102762||100.0||4252757||1053157||114756|
01|00|0100000US|United States||61|6115|Technical and trade schools||A|All establishments|804|4 largest firms|2012|159||1966008||15.0||598254||148889||12351|
01|00|0100000US|United States||61|6115|Technical and trade schools||A|All establishments|808|8 largest firms|2012|357||2752055||21.0||836700||210174||16899|
01|00|0100000US|United States||61|6115|Technical and trade schools||A|All establishments|820|20 largest firms|2012|698||4246653||32.4||1349379||346832||29936|
