GEOTYPE|ST|GEO_ID|GEO_TTL|SECTOR|NAICS2012|NAICS2012_TTL|CONCENFI|CONCENFI_TTL|FOOTID_NAICS|FOOTID_GEO|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States|72|72|Accommodation and food services|001|All firms|||2012|662489||708138598||100.0||196103341||47296658||12007689|
01|00|0100000US|United States|72|72|Accommodation and food services|804|4 largest firms|||2012|15573||36007556||5.1||10208322||2486757||488029|
01|00|0100000US|United States|72|72|Accommodation and food services|808|8 largest firms|||2012|27331||64630863||9.1||18446072||4566223||811346|
01|00|0100000US|United States|72|72|Accommodation and food services|820|20 largest firms|||2012|36135||106927450||15.1||30625233||7650596||1378338|
01|00|0100000US|United States|72|72|Accommodation and food services|850|50 largest firms|||2012|48127||149828981||21.2||42484912||10593074||1957447|
01|00|0100000US|United States|72|721|Accommodation|001|All firms|||2012|63833||195858388||100.0||50120659||12070636||1950081|
01|00|0100000US|United States|72|721|Accommodation|804|4 largest firms|||2012|1071||30791964||15.7||8601654||2067183||253464|
01|00|0100000US|United States|72|721|Accommodation|808|8 largest firms|||2012|1673||45891817||23.4||12792422||3108028||371646|
01|00|0100000US|United States|72|721|Accommodation|820|20 largest firms|||2012|2411||64813039||33.1||17363827||4269563||515562|
01|00|0100000US|United States|72|721|Accommodation|850|50 largest firms|||2012|4968||84970975||43.4||22098314||5461307||684241|
01|00|0100000US|United States|72|7211|Traveler accommodation|001|All firms|||2012|54289||189672313||100.0||48683242||11811250||1897599|
01|00|0100000US|United States|72|7211|Traveler accommodation|804|4 largest firms|||2012|1071||30791964||16.2||8601654||2067183||253464|
01|00|0100000US|United States|72|7211|Traveler accommodation|808|8 largest firms|||2012|1673||45891817||24.2||12792422||3108028||371646|
01|00|0100000US|United States|72|7211|Traveler accommodation|820|20 largest firms|||2012|2410||64742800||34.1||17348275||4265662||514944|
01|00|0100000US|United States|72|7211|Traveler accommodation|850|50 largest firms|||2012|4966||84900450||44.8||22082551||5457351||683616|
01|00|0100000US|United States|72|72111|Hotels (except casino hotels) and motels|001|All firms|||2012|49543||134515151||100.0||34870559||8365855||1459494|
01|00|0100000US|United States|72|72111|Hotels (except casino hotels) and motels|804|4 largest firms|||2012|1374||26555097||19.7||7352890||1753677||214146|
01|00|0100000US|United States|72|72111|Hotels (except casino hotels) and motels|808|8 largest firms|||2012|2202||35467188||26.4||9622696||2317344||292133|
01|00|0100000US|United States|72|72111|Hotels (except casino hotels) and motels|820|20 largest firms|||2012|4361||45744801||34.0||12242865||2959610||388806|
01|00|0100000US|United States|72|72111|Hotels (except casino hotels) and motels|850|50 largest firms|||2012|5795||58178509||43.3||15207726||3725652||499690|
01|00|0100000US|United States|72|721110|Hotels (except casino hotels) and motels|001|All firms|||2012|49543||134515151||100.0||34870559||8365855||1459494|
01|00|0100000US|United States|72|721110|Hotels (except casino hotels) and motels|804|4 largest firms|||2012|1374||26555097||19.7||7352890||1753677||214146|
01|00|0100000US|United States|72|721110|Hotels (except casino hotels) and motels|808|8 largest firms|||2012|2202||35467188||26.4||9622696||2317344||292133|
01|00|0100000US|United States|72|721110|Hotels (except casino hotels) and motels|820|20 largest firms|||2012|4361||45744801||34.0||12242865||2959610||388806|
01|00|0100000US|United States|72|721110|Hotels (except casino hotels) and motels|850|50 largest firms|||2012|5795||58178509||43.3||15207726||3725652||499690|
01|00|0100000US|United States|72|72112|Casino hotels|001|All firms|||2012|358||53410351||100.0||13378596||3358432||414420|
01|00|0100000US|United States|72|72112|Casino hotels|804|4 largest firms|||2012|69||18320009||34.3||4967230||1244231||146546|
01|00|0100000US|United States|72|72112|Casino hotels|808|8 largest firms|||2012|76||24354148||45.6||6504124||1657837||182456|
01|00|0100000US|United States|72|72112|Casino hotels|820|20 largest firms|||2012|121||33381882||62.5||8459006||2145666||245733|
01|00|0100000US|United States|72|72112|Casino hotels|850|50 largest firms|||2012|172||42893314||80.3||10586920||2680307||314660|
01|00|0100000US|United States|72|721120|Casino hotels|001|All firms|||2012|358||53410351||100.0||13378596||3358432||414420|
01|00|0100000US|United States|72|721120|Casino hotels|804|4 largest firms|||2012|69||18320009||34.3||4967230||1244231||146546|
01|00|0100000US|United States|72|721120|Casino hotels|808|8 largest firms|||2012|76||24354148||45.6||6504124||1657837||182456|
01|00|0100000US|United States|72|721120|Casino hotels|820|20 largest firms|||2012|121||33381882||62.5||8459006||2145666||245733|
01|00|0100000US|United States|72|721120|Casino hotels|850|50 largest firms|||2012|172||42893314||80.3||10586920||2680307||314660|
01|00|0100000US|United States|72|72119|Other traveler accommodation|001|All firms|||2012|4388||1746811||100.0||434087||86963||23685|
01|00|0100000US|United States|72|72119|Other traveler accommodation|804|4 largest firms|||2012|28||83568||4.8||24543||5701||1156|
01|00|0100000US|United States|72|72119|Other traveler accommodation|808|8 largest firms|||2012|44||121921||7.0||35979||8125||1562|
01|00|0100000US|United States|72|72119|Other traveler accommodation|820|20 largest firms|||2012|63||193296||11.1||55054||12185||2143|
01|00|0100000US|United States|72|72119|Other traveler accommodation|850|50 largest firms|||2012|100||299191||17.1||85105||18467||3394|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|001|All firms|||2012|3004||1044042||100.0||264022||53958||15740|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|804|4 largest firms|||2012|23||40504||3.9||10066||2071||378|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|808|8 largest firms|||2012|27||59503||5.7||14260||3024||574|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|820|20 largest firms|||2012|44||97867||9.4||27297||5983||1238|
01|00|0100000US|United States|72|721191|Bed-and-breakfast inns|850|50 largest firms|||2012|75||165755||15.9||49637||10355||2235|
01|00|0100000US|United States|72|721199|All other traveler accommodation|001|All firms|||2012|1384||702769||100.0||170065||33005||7945|
01|00|0100000US|United States|72|721199|All other traveler accommodation|804|4 largest firms|||2012|22||78518||11.2||24778||5768||1130|
01|00|0100000US|United States|72|721199|All other traveler accommodation|808|8 largest firms|||2012|26||110410||15.7||35098||7958||1442|
01|00|0100000US|United States|72|721199|All other traveler accommodation|820|20 largest firms|||2012|43||164778||23.4||50089||10783||1882|
01|00|0100000US|United States|72|721199|All other traveler accommodation|850|50 largest firms|||2012|76||250314||35.6||68235||14563||2541|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|001|All firms|||2012|7414||4838704||100.0||1219751||204362||40561|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|804|4 largest firms|||2012|159||272081||5.6||63743||14293||2687|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|808|8 largest firms|||2012|175||386134||8.0||93732||19671||3292|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|820|20 largest firms|||2012|214||555168||11.5||136241||26923||4306|
01|00|0100000US|United States|72|7212|RV (recreational vehicle) parks and recreational camps|850|50 largest firms|||2012|288||842110||17.4||210922||39171||6642|
