GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|22|Utilities|22|Utilities|1997|Reference year 1997|003|All firms|15513||411713327||100||36594684||9619411||702703|
01000US|United States|1|United States|22|Utilities|22|Utilities|1997|Reference year 1997|804|4 largest firms|774||60450109||14.7||3893992||1115865||63565|
01000US|United States|1|United States|22|Utilities|22|Utilities|1997|Reference year 1997|808|8 largest firms|1306||94267425||22.9||5620517||1584883||96221|
01000US|United States|1|United States|22|Utilities|22|Utilities|1997|Reference year 1997|820|20 largest firms|2613||167024533||40.6||12735288||3435653||219583|
01000US|United States|1|United States|22|Utilities|22|Utilities|1997|Reference year 1997|850|50 largest firms|4625||265695265||64.5||22406753||6018205||391541|
01000US|United States|1|United States|22|Utilities|221|Utilities|1997|Reference year 1997|003|All firms|15513||411713327||100||36594684||9619411||702703|
01000US|United States|1|United States|22|Utilities|221|Utilities|1997|Reference year 1997|804|4 largest firms|774||60450109||14.7||3893992||1115865||63565|
01000US|United States|1|United States|22|Utilities|221|Utilities|1997|Reference year 1997|808|8 largest firms|1306||94267425||22.9||5620517||1584883||96221|
01000US|United States|1|United States|22|Utilities|221|Utilities|1997|Reference year 1997|820|20 largest firms|2613||167024533||40.6||12735288||3435653||219583|
01000US|United States|1|United States|22|Utilities|221|Utilities|1997|Reference year 1997|850|50 largest firms|4625||265695265||64.5||22406753||6018205||391541|
01000US|United States|1|United States|22|Utilities|2211|Electric power generation, transmission, & distribution|1997|Reference year 1997|003|All firms|7935||269095239||100||30439772||8073831||564525|
01000US|United States|1|United States|22|Utilities|2211|Electric power generation, transmission, & distribution|1997|Reference year 1997|804|4 largest firms|1149||38506248||14.3||4740599||1376325||79268|
01000US|United States|1|United States|22|Utilities|2211|Electric power generation, transmission, & distribution|1997|Reference year 1997|808|8 largest firms|1617||65570041||24.4||8469652||2330684||140444|
01000US|United States|1|United States|22|Utilities|2211|Electric power generation, transmission, & distribution|1997|Reference year 1997|820|20 largest firms|2530||122341845||45.5||14257102||3868862||243931|
01000US|United States|1|United States|22|Utilities|2211|Electric power generation, transmission, & distribution|1997|Reference year 1997|850|50 largest firms|4160||194333088||72.2||22691404||6118252||392143|
01000US|United States|1|United States|22|Utilities|22111|Electric power generation|1997|Reference year 1997|003|All firms|1745||73375323||100||8369366||2212684||148686|
01000US|United States|1|United States|22|Utilities|22111|Electric power generation|1997|Reference year 1997|804|4 largest firms|341||17464647||23.8||2157431||573910||36800|
01000US|United States|1|United States|22|Utilities|22111|Electric power generation|1997|Reference year 1997|808|8 largest firms|449||26196212||35.7||3165173||858409||54408|
01000US|United States|1|United States|22|Utilities|22111|Electric power generation|1997|Reference year 1997|820|20 largest firms|679||41823969||57||5089085||1362843||87305|
01000US|United States|1|United States|22|Utilities|22111|Electric power generation|1997|Reference year 1997|850|50 largest firms|959||58487877||79.7||6832379||1825145||117552|
01000US|United States|1|United States|22|Utilities|221111|Hydroelectric power generation|1997|Reference year 1997|003|All firms|353||3073908||100||394135||98922||7380|
01000US|United States|1|United States|22|Utilities|221111|Hydroelectric power generation|1997|Reference year 1997|804|4 largest firms|70||1797920||58.5||250698||60374||4328|
01000US|United States|1|United States|22|Utilities|221111|Hydroelectric power generation|1997|Reference year 1997|808|8 largest firms|119||2252922||73.3||285804||70853||5034|
01000US|United States|1|United States|22|Utilities|221111|Hydroelectric power generation|1997|Reference year 1997|820|20 largest firms|175||2752116||89.5||351120||88214||6285|
01000US|United States|1|United States|22|Utilities|221111|Hydroelectric power generation|1997|Reference year 1997|850|50 largest firms|263||3020047||98.2||383686||96543||7045|
01000US|United States|1|United States|22|Utilities|2211111|Electric services (hydroelectric power generation)|1997|Reference year 1997|003|All firms|302||2651104||100||341334||84877||6344|
01000US|United States|1|United States|22|Utilities|2211111|Electric services (hydroelectric power generation)|1997|Reference year 1997|804|4 largest firms|77||1742669||65.7||230415||54908||3932|
01000US|United States|1|United States|22|Utilities|2211111|Electric services (hydroelectric power generation)|1997|Reference year 1997|808|8 largest firms|118||2117991||79.9||266347||65693||4695|
01000US|United States|1|United States|22|Utilities|2211111|Electric services (hydroelectric power generation)|1997|Reference year 1997|820|20 largest firms|190||2478517||93.5||314629||78305||5654|
01000US|United States|1|United States|22|Utilities|2211111|Electric services (hydroelectric power generation)|1997|Reference year 1997|850|50 largest firms|231||2619637||98.8||334325||83276||6120|
01000US|United States|1|United States|22|Utilities|2211112|Electric & other serv combined (hydroelectric power generation)|1997|Reference year 1997|003|All firms|49||0|D|0|D|0|D|0|D|0|g
01000US|United States|1|United States|22|Utilities|2211112|Electric & other serv combined (hydroelectric power generation)|1997|Reference year 1997|804|4 largest firms|10||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211112|Electric & other serv combined (hydroelectric power generation)|1997|Reference year 1997|808|8 largest firms|32||0|D|0|D|0|D|0|D|0|f
01000US|United States|1|United States|22|Utilities|2211112|Electric & other serv combined (hydroelectric power generation)|1997|Reference year 1997|820|20 largest firms|49||0|D|0|D|0|D|0|D|0|g
01000US|United States|1|United States|22|Utilities|2211112|Electric & other serv combined (hydroelectric power generation)|1997|Reference year 1997|850|50 largest firms|49||0|D|0|D|0|D|0|D|0|g
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|003|All firms|1009||48324008||100||5048597||1329419||93765|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|804|4 largest firms|275||11055114||22.9||988008||254574||18746|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|808|8 largest firms|339||17499352||36.2||1938049||508921||34060|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|820|20 largest firms|469||27687828||57.3||2771438||744083||49871|
01000US|United States|1|United States|22|Utilities|221112|Fossil fuel electric power generation|1997|Reference year 1997|850|50 largest firms|705||40231677||83.3||4151658||1110367||75612|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|003|All firms|834||37041869||100||3829528||1008378||71407|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|804|4 largest firms|256||10690009||28.9||1171312||302141||21113|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|808|8 largest firms|332||15586100||42.1||1637853||433450||29062|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|820|20 largest firms|429||23689288||64||2326724||631261||41812|
01000US|United States|1|United States|22|Utilities|2211121|Electric services (fossil fuel power generation)|1997|Reference year 1997|850|50 largest firms|629||33303948||89.9||3366853||899109||62587|
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|003|All firms|174||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|804|4 largest firms|61||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|808|8 largest firms|86||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|820|20 largest firms|125||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|2211122|Electric & other serv combined (fossil fuel power generation)|1997|Reference year 1997|850|50 largest firms|174||0|D|0|D|0|D|0|D|0|j
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|003|All firms|67||13966616||100||2201922||593607||34381|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|804|4 largest firms|13||5933709||42.5||778886||205278||10974|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|808|8 largest firms|26||9673776||69.3||1176085||320294||18420|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|820|20 largest firms|50||13672632||97.9||1923324||520824||30167|
01000US|United States|1|United States|22|Utilities|221113|Nuclear electric power generation|1997|Reference year 1997|850|50 largest firms|67||13966616||100||2201922||593607||34381|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|003|All firms|56||9808861||100||1673481||453070||26508|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|804|4 largest firms|13||5228256||53.3||679427||178306||10090|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|808|8 largest firms|27||8111969||82.7||1026483||284751||16903|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|820|20 largest firms|50||9789263||99.8||1671009||452423||26461|
01000US|United States|1|United States|22|Utilities|2211131|Electric services (nuclear power generation)|1997|Reference year 1997|850|50 largest firms|56||9808861||100||1673481||453070||26508|
01000US|United States|1|United States|22|Utilities|2211132|Electric & other services combined (nuclear power generation)|1997|Reference year 1997|003|All firms|11||4157755||100||528441||140537||7873|
