GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|COMPANY|COMPANYF|ECVALUE|ECVALUEF|VSTOP4|VSTOP4F|VSTOP8|VSTOP8F|VSTOP20|VSTOP20F|VSTOP50|VSTOP50F|VSHERFI|VSHERFIF 
01000US|United States|1|United States|31|Manufacturing|311|Food mfg|1997|Reference year 1997|21958||421737017||14.3||22||34.8||50.8||91|
01000US|United States|1|United States|31|Manufacturing|3111|Animal food mfg|1997|Reference year 1997|1077||27732347||23.1||34.7||56.1||73.1||238.8|
01000US|United States|1|United States|31|Manufacturing|31111|Animal food mfg|1997|Reference year 1997|1077||27732347||23.1||34.7||56.1||73.1||238.8|
01000US|United States|1|United States|31|Manufacturing|311111|Dog & cat food mfg|1997|Reference year 1997|129||8688239||58.4||80.2||92.4||98.3||1266.5|
01000US|United States|1|United States|31|Manufacturing|311119|Other animal food mfg|1997|Reference year 1997|962||19044108||23.7||36.3||54.5||71.2||240.6|
01000US|United States|1|United States|31|Manufacturing|3112|Grain & oilseed milling|1997|Reference year 1997|534||52075763||45.3||59.1||77.1||89.1||711.4|
01000US|United States|1|United States|31|Manufacturing|31121|Flour milling & malt mfg|1997|Reference year 1997|324||11141876||38.7||51.8||71.4||89.2||485.7|
01000US|United States|1|United States|31|Manufacturing|311211|Flour milling|1997|Reference year 1997|254||8001978||48.4||62.5||79.2||93.4||699.6|
01000US|United States|1|United States|31|Manufacturing|311212|Rice milling|1997|Reference year 1997|56||2364582||51.8||75.3||92.5||99.8||894.2|
01000US|United States|1|United States|31|Manufacturing|311213|Malt mfg|1997|Reference year 1997|19||775316||69||94.5||100||0|N|1458.7|
01000US|United States|1|United States|31|Manufacturing|31122|Starch & vegetable fats & oils mfg|1997|Reference year 1997|179||31835054||57.7||73||88.3||96.9||1213.5|
01000US|United States|1|United States|31|Manufacturing|311221|Wet corn milling|1997|Reference year 1997|30||8455172||71.7||90.3||99.8||100||1507.4|
01000US|United States|1|United States|31|Manufacturing|311222|Soybean processing|1997|Reference year 1997|43||14036271||79.6||94.5||99.5||100||2035.4|
01000US|United States|1|United States|31|Manufacturing|311223|Other oilseed processing|1997|Reference year 1997|32||1720738||66.6||81.9||98.9||100||2149.2|
01000US|United States|1|United States|31|Manufacturing|311225|Fats & oils refining & blending|1997|Reference year 1997|91||7622873||36.7||63||89.5||98.8||602.8|
01000US|United States|1|United States|31|Manufacturing|31123|Breakfast cereal mfg|1997|Reference year 1997|48||9098833||82.9||93.5||99.2||100||2445.9|
01000US|United States|1|United States|31|Manufacturing|311230|Breakfast cereal mfg|1997|Reference year 1997|48||9098833||82.9||93.5||99.2||100||2445.9|
01000US|United States|1|United States|31|Manufacturing|3113|Sugar & confectionery product mfg|1997|Reference year 1997|1556||24114454||41.9||56.4||75||86.3||580.3|
01000US|United States|1|United States|31|Manufacturing|31131|Sugar mfg|1997|Reference year 1997|49||7399171||64.4||84||95.9||100||1452.2|
01000US|United States|1|United States|31|Manufacturing|311311|Sugarcane mills|1997|Reference year 1997|34||1457482||56.6||71.4||94.3||100||1158.7|
01000US|United States|1|United States|31|Manufacturing|311312|Cane sugar refining|1997|Reference year 1997|12||3209186||98.7||99.9||100||0|N|0|D
01000US|United States|1|United States|31|Manufacturing|311313|Beet sugar mfg|1997|Reference year 1997|8||2732503||85||100||0|N|0|N|1997.6|
01000US|United States|1|United States|31|Manufacturing|31132|Chocolate & confectionery mfg from cacao beans|1997|Reference year 1997|152||3755268||79.5||92.5||97.6||99||2567.1|
01000US|United States|1|United States|31|Manufacturing|311320|Chocolate & confectionery mfg from cacao beans|1997|Reference year 1997|152||3755268||79.5||92.5||97.6||99||2567.1|
01000US|United States|1|United States|31|Manufacturing|31133|Confectionery mfg from purchased chocolate|1997|Reference year 1997|796||7879752||65.2||75.3||84.2||92||1600.6|
01000US|United States|1|United States|31|Manufacturing|311330|Confectionery mfg from purchased chocolate|1997|Reference year 1997|796||7879752||65.2||75.3||84.2||92||1600.6|
01000US|United States|1|United States|31|Manufacturing|31134|Nonchocolate confectionery mfg|1997|Reference year 1997|578||5080263||40.7||60.1||78||91||623|
01000US|United States|1|United States|31|Manufacturing|311340|Nonchocolate confectionery mfg|1997|Reference year 1997|578||5080263||40.7||60.1||78||91||623|
01000US|United States|1|United States|31|Manufacturing|3114|Fruit & vegetable preserving & specialty food mfg|1997|Reference year 1997|1394||46618107||26.6||35.6||51.8||69.2||253.3|
01000US|United States|1|United States|31|Manufacturing|31141|Frozen food mfg|1997|Reference year 1997|531||19691664||31.3||44.6||62.8||79.8||349.5|
01000US|United States|1|United States|31|Manufacturing|311411|Frozen fruit, juice, & vegetable mfg|1997|Reference year 1997|177||9549256||34.3||47.4||70.6||90.5||443.7|
01000US|United States|1|United States|31|Manufacturing|311412|Frozen specialty food mfg|1997|Reference year 1997|363||10142408||40.2||56.9||74.9||88.6||530.5|
01000US|United States|1|United States|31|Manufacturing|31142|Fruit & vegetable canning, pickling, & drying|1997|Reference year 1997|887||26926443||27.9||39.3||58.3||76.7||342|
01000US|United States|1|United States|31|Manufacturing|311421|Fruit & vegetable canning|1997|Reference year 1997|661||15801279||24.9||38||59.7||77.1||259.3|
01000US|United States|1|United States|31|Manufacturing|311422|Specialty canning|1997|Reference year 1997|122||8051059||67.2||83.5||96.1||99.5||2165.1|
01000US|United States|1|United States|31|Manufacturing|311423|Dried & dehydrated food mfg|1997|Reference year 1997|125||3074105||30.3||51.1||80.2||96.9||440.8|
