GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42|Wholesale trade|1997|Reference year 1997|003|All firms|453470|r|4059657778|r|100||214915405|r|51072571|r|5796557|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42|Wholesale trade|1997|Reference year 1997|804|4 largest firms|294||251645800||6.2||1350045||348110||38694|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42|Wholesale trade|1997|Reference year 1997|808|8 largest firms|1550||343243443||8.5||3729885||1112202||76539|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42|Wholesale trade|1997|Reference year 1997|820|20 largest firms|3438||523311763||12.9||11673382||3414885||228300|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42|Wholesale trade|1997|Reference year 1997|850|50 largest firms|5987||824904707||20.3||17395061||4882023||363526|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421|Wholesale trade, durable goods|1997|Reference year 1997|003|All firms|290629||2179717376|r|100||133236997|r|31746275|r|3398261|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421|Wholesale trade, durable goods|1997|Reference year 1997|804|4 largest firms|291||251637628||11.5||1348789||347958||38661|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421|Wholesale trade, durable goods|1997|Reference year 1997|808|8 largest firms|1674||341494712||15.7||6754268||2170268||115178|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421|Wholesale trade, durable goods|1997|Reference year 1997|820|20 largest firms|2404||465633933||21.4||9552897||2912505||168790|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421|Wholesale trade, durable goods|1997|Reference year 1997|850|50 largest firms|4502||617079710||28.3||14917081||4290670||271879|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211|Motor vehicle & motor vehicle parts & supplies whsle|1997|Reference year 1997|003|All firms|29328|r|533352124|r|100||11458634|r|2717906|r|375731|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211|Motor vehicle & motor vehicle parts & supplies whsle|1997|Reference year 1997|804|4 largest firms|290||251636652||47.2||1348501||347879||38652|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211|Motor vehicle & motor vehicle parts & supplies whsle|1997|Reference year 1997|808|8 largest firms|363||324114747||60.8||1722558||432147||50426|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211|Motor vehicle & motor vehicle parts & supplies whsle|1997|Reference year 1997|820|20 largest firms|812||376601127||70.6||2319012||592015||68228|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211|Motor vehicle & motor vehicle parts & supplies whsle|1997|Reference year 1997|850|50 largest firms|1069||413243070||77.5||2881344||731182||80634|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42111|Automobile & other motor vehicle whsle|1997|Reference year 1997|003|All firms|7664||428356355|r|100||4638901|r|1112419|r|150947|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42111|Automobile & other motor vehicle whsle|1997|Reference year 1997|804|4 largest firms|229||238793793||55.7||569150||156671||23103|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42111|Automobile & other motor vehicle whsle|1997|Reference year 1997|808|8 largest firms|298||310074185||72.4||912854||233845||34172|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42111|Automobile & other motor vehicle whsle|1997|Reference year 1997|820|20 largest firms|428||356966067||83.3||1289678||336740||43018|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42111|Automobile & other motor vehicle whsle|1997|Reference year 1997|850|50 largest firms|539||378259447||88.3||1638101||418340||51689|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421110|Automobile & other motor vehicle whsle|1997|Reference year 1997|003|All firms|7664||428356355|r|100||4638901|r|1112419|r|150947|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421110|Automobile & other motor vehicle whsle|1997|Reference year 1997|804|4 largest firms|229||238793793||55.7||569150||156671||23103|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421110|Automobile & other motor vehicle whsle|1997|Reference year 1997|808|8 largest firms|298||310074185||72.4||912854||233845||34172|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421110|Automobile & other motor vehicle whsle|1997|Reference year 1997|820|20 largest firms|428||356966067||83.3||1289678||336740||43018|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421110|Automobile & other motor vehicle whsle|1997|Reference year 1997|850|50 largest firms|539||378259447||88.3||1638101||418340||51689|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|003|All firms|3952||232780708|r|100||1767828|r|423461|r|70675|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|804|4 largest firms|141||118242803||50.8||577343||138245||24319|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|808|8 largest firms|222||163989306||70.4||752127||181726||35087|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|820|20 largest firms|265||200882341||86.3||996487||247862||38419|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211101|Automobile & motorcycle whsle|1997|Reference year 1997|850|50 largest firms|373||215493022||92.6||1223261||299611||45418|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|003|All firms|387||3059157||100||152468||33148||5047|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211102|Bus & recreational vehicle whsle|1997|Reference year 1997|804|4 largest firms|8||761897||24.9||13487||2948||207|
