GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|5824||15708510||100||6022741||1430744||148465|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|55||1901850||12.1||925270||220974||22875|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|83||3318698||21.1||1323908||322724||29886|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|213||5693590||36.2||2181363||518050||50449|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|345||8374278||53.3||3141198||754875||72835|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|003|All firms|615305||579542139||100||225376050||50558313||5212745|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|366||24390648||4.2||5793628||1650860||107297|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|1237||39459583||6.8||11120002||2909072||202428|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|2502||67269490||11.6||21994454||5488952||457871|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|4982||94041576||16.2||30895437||7743379||710790|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|5824||15708510||100||6022741||1430744||148465|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|55||1901850||12.1||925270||220974||22875|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|83||3318698||21.1||1323908||322724||29886|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|213||5693590||36.2||2181363||518050||50449|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|345||8374278||53.3||3141198||754875||72835|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|003|All firms|615305||579542139||100||225376050||50558313||5212745|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|366||24390648||4.2||5793628||1650860||107297|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|1237||39459583||6.8||11120002||2909072||202428|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|2502||67269490||11.6||21994454||5488952||457871|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541|Professional, scientific, & technical services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|4982||94041576||16.2||30895437||7743379||710790|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2532||1496807||100||796671||185233||23316|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|N|Non-taxable establishments|1997|Reference year 1997|804|4 largest firms|79||223606||14.9||114514||27486||2750|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|N|Non-taxable establishments|1997|Reference year 1997|808|8 largest firms|128||296907||19.8||149148||35003||3655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|N|Non-taxable establishments|1997|Reference year 1997|820|20 largest firms|192||406949||27.2||202051||47841||5122|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|N|Non-taxable establishments|1997|Reference year 1997|850|50 largest firms|369||582176||38.9||304362||72320||7861|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|003|All firms|173716||127052406||100||49060017||10374586||1012092|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|36||2279666||1.8||604692||139928||8125|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|57||3665740||2.9||937994||210135||12910|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|120||7146851||5.6||1951619||440371||26111|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5411|Legal services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|296||13135640||10.3||3877723||896558||54113|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54111|Offices of lawyers|N|Non-taxable establishments|1997|Reference year 1997|003|All firms|2532||1496807||100||796671||185233||23316|
