                  Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1990 Estimates


                                                   Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                                               ------------------------------------------------------ ----------------------------------
                                                                               Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                                                 of   -----------------------------------  employees  ----------------- ----------------
                                                                               affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                                               iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                                                 ensation             parents (millions affil- (millions
                                                                                                                                                 of     iates     of
                                                                                                                                              dollars)         dollars)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                        All industries .......................................17,712 1,559,038 1,493,426  84,558  184,809     6,833.9   2,161 4,951,048 17,712 1,559,038

                  Petroleum .................................................. 1,430   218,688   295,780  14,290    9,994       235.7      94   477,585  1,669   313,915
                    Oil and gas extraction ...................................   760    93,680    55,362   7,988    3,367        94.3      42    20,927    163     7,342
                      Crude petroleum extraction (no refining) and natural gas   442    85,310    50,654   7,792    2,224        58.7      26    16,769     59     5,105
                      Oil and gas field services .............................   318     8,370     4,708     196    1,144        35.6      16     4,159    104     2,237
                    Petroleum and coal products ..............................   100    73,912   107,862   2,241    4,183        74.8      33   411,424  1,309   284,955
                      Integrated petroleum refining and extraction ...........    16       (D)    39,440     828      (D)         (D)      26   327,947  1,254   235,816
                      Petroleum refining without extraction ..................    52    39,384    67,165   1,347    1,769        37.7       5       (D)     33       (D)
                      Petroleum and coal products, nec .......................    32       (D)     1,257      67      (D)         (D)       2       (D)     22       (D)
                    Petroleum wholesale trade ................................   372    37,952   114,096   2,758    1,772        45.4      14    42,827    174    19,876
                    Other ....................................................   198    13,145    18,460   1,303      672        21.1       5     2,406     23     1,742
                      Petroleum tanker operations ............................    61     6,851     4,132     829      205         6.3       4       (D)     21       (D)
                      Petroleum and natural gas pipelines ....................    38     1,888     1,205     265      106         3.0       1       (D)      2       (D)
