                  Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1990 Estimates


                                                   Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries--Continued



                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                    By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                                               ------------------------------------------------------ ----------------------------------
                                                                               Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                                                 of   -----------------------------------  employees  ----------------- ----------------
                                                                               affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                                               iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                                                 ensation             parents (millions affil- (millions
                                                                                                                                                 of     iates     of
                                                                                                                                              dollars)         dollars)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
                  -------------------------------------------------------------------------------------------------------------------------------------------------------
                  Wholesale trade ............................................ 3,986   129,671   244,535   8,455   21,917       547.2     190   111,901    758    28,907
                    Durable goods ............................................ 2,603    87,343   158,803   5,152   17,311       398.0     127    61,140    414    14,596
                      Motor vehicles and equipment ...........................   134     8,558    24,553     576      916        25.6       8    11,700     21       (D)
                      Lumber and construction materials ......................    20       (D)       (D)     (D)      (D)         (D)       4       (D)      5        19
                      Professional and commercial equipment and supplies ..... 1,001    49,712    75,405   2,902   11,787       245.9      20     5,793     63     1,597
                      Metals and minerals ....................................    92     2,594    10,440      27      161         3.8      21     5,465     70     2,419
                      Electrical goods .......................................   414     7,793    16,686     710    1,577        40.1      25    22,001    107     3,163
                      Hardware, plumbing, and heating equipment and supplies     111       (D)       (D)     (D)      (D)         (D)       5       (D)     18       (D)
                      Machinery, equipment and supplies, nec .................   617    12,705    20,191     479    1,909        52.7      22     7,058     43       644
                      Durable goods, nec .....................................   214     3,874     7,022     357      436        13.4      22     5,940     87     1,753
                    Nondurable goods ......................................... 1,383    42,328    85,732   3,303    4,606       149.2      63    50,761    344    14,310
                      Paper and paper products ...............................    62     1,303     2,180      88      221         7.3       6       (D)     21       (D)
                      Drugs, proprietaries, and sundries .....................   374     9,888    11,346     828    1,383        44.4       5     4,386     14       294
                      Apparel, piece goods, and notions ......................    91     3,219     4,015     479      (D)         (D)       9     3,359     37       801
                      Groceries and related products .........................   181     5,166    13,332     768      679        23.8      14     9,007     64     2,208
                      Farm product raw materials .............................   142     5,625       (D)     (D)      323        15.3      13    19,136    166     8,459
                      Nondurable goods, nec ..................................   533    17,128       (D)     (D)      (D)         (D)      16       (D)     42       (D)

                  Finance (except banking), insurance, and real estate ....... 2,252   499,224    67,198  19,249    7,075       166.2     195 1,599,998  1,251   275,559
                    Finance, except banking ..................................   775   265,017    31,328   4,351    3,212        60.6      36   462,426    224    88,384
                      Savings institutions and credit unions .................     0         0         0       0        0         0         2       (D)      2       (D)
                      Business franchising ...................................    12       211        91      17      (D)         (D)       0         0      0         0
                      Other ..................................................   763   264,806    31,237   4,334      (D)         (D)      34       (D)    222       (D)
                    Insurance ................................................   627   111,612    34,791   2,445    3,606        98.5      71 1,130,067    832   164,240
