Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1991 Estimates


                                                               Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                  By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                             ------------------------------------------------------ ----------------------------------
                                                             Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                               of   -----------------------------------  employees  ----------------- ----------------
                                                             affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                             iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                               ensation             parents (millions affil- (millions
                                                                                                                               of     iates     of
                                                                                                                            dollars)         dollars)
-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                              (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
-------------------------------------------------------------------------------------------------------------------------------------------------------
    All industries .........................................17,883 1,678,345 1,541,566  77,076  196,134     6,878.2   2,154 5,183,286 17,883 1,678,345

Petroleum .................................................. 1,467   223,463   300,326  16,248   10,504       230.9      91   404,558  1,683   283,330
  Oil and gas extraction ...................................   780    98,809    51,922   8,849    3,726        96.1      40       (D)    173       (D)
    Crude petroleum extraction (no refining) and natural gas   460    89,550    46,592   8,530    2,532        59.8      24    15,539     61     5,709
    Oil and gas field services .............................   320     9,260     5,330     319    1,195        36.3      16       (D)    112       (D)
  Petroleum and coal products ..............................   109    75,149   112,873   3,708    4,386        73.8      32   329,178  1,309   248,933
    Integrated petroleum refining and extraction ...........    16       (D)       (D)     (D)      (D)         (D)      27   324,649  1,285   248,516
    Petroleum refining without extraction ..................    53    39,309    70,966   2,508    2,083        38.2       4       (D)      7       (D)
    Petroleum and coal products, nec .......................    40       (D)       (D)     (D)      (D)         (D)       1       (D)     17       (D)
  Petroleum wholesale trade ................................   383    35,927   115,584   2,798    1,695        40.7      13    38,759    140    20,045
  Other ....................................................   195    13,577    19,947     893      697        20.4       6       (D)     61       (D)
    Petroleum tanker operations ............................    57     6,518     4,443     419      224         6.5       4     2,321     21     1,950
    Petroleum and natural gas pipelines ....................    38     1,975     1,263     232      117         3.1       2       (D)     40       (D)
    Petroleum storage for hire .............................    27     1,211       550      50       49         1.4       0         0      0         0
    Gasoline service stations ..............................    73     3,873    13,691     192      308         9.4       0         0      0         0

Manufacturing .............................................. 7,442   604,036   759,686  29,263  123,046     4,259.2   1,292 1,968,967 11,947   892,223

  Food and kindred products ................................   672    61,660    82,338   4,934   10,125       466.6      61   177,684  1,125   103,128
    Grain mill and bakery products .........................   166    13,471    21,542     934    2,516        90.2       9    32,790    185    13,009
      Grain mill products ..................................   140       (D)    17,628     709      (D)         (D)       9    32,790    185    13,009
      Bakery products ......................................    26       (D)     3,914     225      (D)         (D)       0         0      0         0
    Beverages ..............................................   150    19,192    19,829   2,089    1,941       110.4      14    90,293    353    55,480
    Other ..................................................   356    28,996    40,967   1,911    5,667       266.1      38    54,600    587    34,639
      Meat products ........................................    21       999     1,800      38      281        19.0       7    21,863    284    15,881
      Dairy products .......................................    36     2,532     4,710     297      550        20.4       3     5,191     43       (D)
      Preserved fruits and vegetables ......................    77     5,764     6,700     432    1,186        59.3       8    10,422     98       (D)
      Other food and kindred products ......................   222    19,701    27,756   1,144    3,651       167.4      20    17,125    162    10,513

  Chemicals and allied products ............................ 1,873   125,200   134,316   8,315   19,042       592.3     173   325,779  3,047   183,955
    Industrial chemicals and synthetics ....................   559    60,755    57,029   2,495    6,607       181.3      60   159,162  1,141    87,923
    Drugs ..................................................   480    29,563    32,914   3,994    6,127       184.9      32    89,354    958    57,037
    Soap, cleaners, and toilet goods .......................   349    16,971    27,128     943    3,834       147.8      34    49,220    567    25,805
    Agricultural chemicals .................................    68     3,066     2,819     171      295        10.9       8     8,089     28       (D)
    Chemical products, nec .................................   417    14,845    14,425     712    2,178        67.3      39    19,954    353       (D)

