Nonbank Foreign Affiliates of Nonbank U.S. Parents--Revised 1991 Estimates


                                                               Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                  By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                             ------------------------------------------------------ ----------------------------------
                                                             Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                               of   -----------------------------------  employees  ----------------- ----------------
                                                             affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                             iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                               ensation             parents (millions affil- (millions
                                                                                                                               of     iates     of
                                                                                                                            dollars)         dollars)
-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                              (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
-------------------------------------------------------------------------------------------------------------------------------------------------------
Wholesale trade ............................................ 4,009   134,189   245,341   7,709   23,471       558.3     191   175,327    813    83,887
  Durable goods ............................................ 2,619    89,614   155,231   4,366   18,352       395.8     132   133,931    462    65,756
    Motor vehicles and equipment ...........................   140     8,961    25,391     372      981        25.8       9    12,430     24       (D)
    Lumber and construction materials ......................    20       282       (D)     (D)      (D)         (D)       4       (D)      5        18
    Professional and commercial equipment and supplies ..... 1,004    49,654    75,290   2,259   12,239       243.9      19     5,718     71     1,790
    Metals and minerals ....................................    91     2,870     5,185      71      151         3.6      22     6,152     68       (D)
    Electrical goods .......................................   423     8,479    18,255     688    1,975        39.4      25    25,341    103     3,270
    Hardware, plumbing, and heating equipment and supplies     115       (D)       (D)     (D)      (D)         (D)       4       851     14       218
    Machinery, equipment and supplies, nec .................   604    12,776    19,173     434    1,958        50.2      25     8,449     46       730
    Durable goods, nec .....................................   222       (D)     7,258     388      509        15.9      24       (D)    131       (D)
  Nondurable goods ......................................... 1,390    44,575    90,109   3,343    5,120       162.5      59    41,397    351    18,131
    Paper and paper products ...............................    65     1,215       (D)     (D)      234         8.8       5     2,572     16       157
    Drugs, proprietaries, and sundries .....................   367    10,748    12,947   1,116    1,474        47.7       6     5,045     15       526
    Apparel, piece goods, and notions ......................   100     4,088     7,061     587      334        11.5       9     3,499     44     1,284
    Groceries and related products .........................   180     5,445    12,889     509      721        28.4      13     7,997     62     2,294
    Farm product raw materials .............................   145     5,831       (D)     (D)      359        16.9      11    18,071    161     9,542
    Nondurable goods, nec ..................................   533    17,248    31,163     922    1,997        49.4      15     4,212     53     4,329

Finance (except banking), insurance, and real estate ....... 2,283   558,218    73,185  18,085    6,814       151.3     193 1,728,914  1,093   296,278
  Finance, except banking ..................................   801   305,004    35,786   4,691    3,097        54.2      35   491,550    230   113,378
    Savings institutions and credit unions .................     0         0         0       0        0         0         1       (D)      1       (D)
    Business franchising ...................................    18       246       104      21        8          .2       0         0      0         0
    Other ..................................................   783   304,758    35,682   4,669    3,089        54.1      34       (D)    229       (D)
  Insurance ................................................   613   117,026    36,279   2,327    3,510        90.4      70 1,230,244    678   158,884
    Life insurance .........................................   106    45,610    12,966     791      642        27.0      12   468,068     88    21,512
    Accident and health insurance ..........................    46    11,837     4,354     257      139         3.9       7    72,447     38       (D)
    Other ..................................................   461    59,578    18,959   1,278    2,730        59.5      51   689,730    552       (D)
  Real estate ..............................................    76     8,468       865    -389       87         2.7      12     5,487     13       343
  Holding companies ........................................   793   127,721       255  11,456      121         4.0      23     1,633     88    10,762
  Nonbusiness entities, except Government ..................     0         0         0       0        0         0        53         0     84    12,911

Services ................................................... 1,675    64,939    53,841   2,681   15,266       536.4     205   151,720  1,191    43,304
  Hotels and other lodging places ..........................   116     4,258     2,888     -93      773        52.3      12    17,633    101     3,454
  Business services ........................................   829    33,884    26,444   1,507    9,425       334.2      89    42,431    662    21,036
    Advertising ............................................   243     8,911     5,686     358    2,363        49.3      12     6,420    228     7,613
    Equipment rental (ex. automotive and computers) ........    54     1,920     1,371     131      300         7.1       4       828      9       145
    Computer and data processing services ..................   376    17,179    13,283     770    3,334        74.4      45    18,181    274     7,026
      Computer processing and data preparation services ....    59     2,926     2,542     191      936        25.3       7     3,157     45       771
      Information retrieval services .......................    18       (D)       (D)     (D)      142         2.7       0         0      0         0
      Computer related services, nec .......................   299       (D)       (D)     (D)    2,256        46.4      38    15,024    229     6,255
