Nonbank Foreign Affiliates of Nonbank U.S. Parents -- Revised 1992 Estimates


                                                               Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                  By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                             ------------------------------------------------------ ----------------------------------
                                                             Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                               of   -----------------------------------  employees  ----------------- ----------------
                                                             affil-   Total    Sales     Net   Employee (thousands) Number    Total   Number   Total
                                                             iates   assets            income   comp-               of U.S.  assets     of    assets
                                                                                               ensation             parents (millions affil- (millions
                                                                                                                               of     iates     of
                                                                                                                            dollars)         dollars)
-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                              (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
-------------------------------------------------------------------------------------------------------------------------------------------------------
      All industries .......................................18,196 1,761,998 1,574,069  73,723  201,537     6,660.1   2,149 5,579,798 18,196 1,761,998

Petroleum .................................................. 1,497   230,990   307,122  13,146   11,150       230.4      92   521,318  1,718   346,396
  Oil and gas extraction ...................................   806   103,161    53,440   8,550    3,887        96.8      40       (D)    182     7,793
    Crude petroleum extraction (no refining) and natural gas   472    91,921       (D)     (D)    2,659        60.6      23    14,904     65     4,969
    Oil and gas field services .............................   334    11,240       (D)     (D)    1,227        36.2      17       (D)    117     2,824
  Petroleum and coal products ..............................   114    78,716   116,789   1,888    4,591        72.0      31   323,623  1,302   248,909
    Integrated petroleum refining and extraction ...........    17       (D)       (D)     (D)      (D)         K        27   318,867  1,275   248,340
    Petroleum refining without extraction ..................    54    43,880    71,655     881    2,335        36.5       3       (D)     10       (D)
    Petroleum and coal products, nec .......................    43       (D)       (D)     (D)      (D)         I         1       (D)     17       (D)
  Petroleum wholesale trade ................................   372    33,953   112,808   2,137    1,813        38.8      15   159,465    170       (D)
  Other ....................................................   205    15,161    24,085     571      860        22.9       6       (D)     64       (D)
    Petroleum tanker operations ............................    53     6,149     3,816      89      250         6.5       4     2,448     22       (D)
    Petroleum and natural gas pipelines ....................    42     3,650     3,391     217      200         5.1       2       (D)     42       (D)
    Petroleum storage for hire .............................    28     1,083       539      38       56         1.4       0         0      0         0
    Gasoline service stations ..............................    82     4,278    16,339     228      353         9.8       0         0      0         0

Manufacturing .............................................. 7,511   594,540   751,993  26,129  121,685     4,008.9   1,281 2,075,890 12,273   935,803

  Food and kindred products ................................   704    70,986    87,578   5,745   10,977       493.5      63   199,280  1,316   126,538
    Grain mill and bakery products .........................   165    13,995    21,292     875    2,639        89.8      11    34,716    188    14,160
      Grain mill products ..................................   137       (D)       (D)     (D)      (D)         L        10       (D)    187       (D)
      Bakery products ......................................    28       (D)       (D)     (D)      (D)         K         1       (D)      1       (D)
    Beverages ..............................................   163    21,401    21,940   2,626      (D)         M        15    94,448    362    61,655
    Other ..................................................   376    35,590    44,347   2,244      (D)         M        37    70,116    766    50,723
      Meat products ........................................    25     1,519       (D)     (D)      (D)         J         8    35,265    453    28,894
      Dairy products .......................................    35     2,573       (D)     (D)      608        20.7       3     5,200     44       (D)
      Preserved fruits and vegetables ......................    79     6,812     7,126     435    1,255        59.1       8    11,504    105       (D)
      Other food and kindred products ......................   237    24,685    29,879   1,523    3,875       178.1      18    18,146    164    12,251

  Chemicals and allied products ............................ 1,909   133,831   144,198   8,677   21,526       590.1     171   343,182  3,059   198,359
    Industrial chemicals and synthetics ....................   559    60,699    57,443   2,560    7,264       172.3      60   168,498  1,140    94,573
    Drugs ..................................................   492    34,857    38,522   4,230    7,263       189.6      32    98,322    962    61,813
    Soap, cleaners, and toilet goods .......................   370    19,614    30,062   1,093    4,289       150.8      33    51,274    579    29,434
    Agricultural chemicals .................................    65     2,916     2,782     -73      306        10.7       6     4,032     21       (D)
    Chemical products, nec .................................   423    15,745    15,389     867    2,404        66.6      40    21,057    357       (D)

  Primary and fabricated metals ............................   681    26,597    28,023     955    5,529       197.8     150    87,450    741    40,400
    Primary metal industries ...............................   142    11,440     9,105      83    1,521        54.9      50    47,833    302    24,816
      Ferrous ..............................................    63     1,048     1,566      15      295        11.2      26    17,637    114     2,606
      Nonferrous ...........................................    79    10,392     7,539      68    1,226        43.6      24    30,197    188    22,209
    Fabricated metal products ..............................   539    15,157    18,918     872    4,008       142.9     100    39,616    439    15,584
      Metal cans, forgings, and stampings ..................    82     3,931     5,265     140      848        28.8      14    20,826    120       (D)
      Cutlery, hand tools, and screw products ..............   104     3,607     3,577     457      731        28.6      18     4,655     81       (D)
