


                                                               Table II.A 2.--Selected Data for Foreign Affiliates and U.S Parents in All Industries



-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                  By industry of affiliate--Affiliate data              By industry of U.S. parent
                                                             ------------------------------------------------------ ----------------------------------
                                                             Number        Millions of dollars           Number of  U.S. parent data   Affiliate data
                                                               of   -----------------------------------  employees  ----------------- ----------------
                                                             affil-   Total    Sales     Net   Compen-  (thousands) Number    Total   Number   Total
                                                             iates   assets            income  sation of            of U.S.  assets     of    assets
                                                                                               employees            parents (millions affil- (millions
                                                                                                                               of     iates     of
                                                                                                                            dollars)         dollars)
-------------------------------------------------------------------------------------------------------------------------------------------------------
                                                              (1)      (2)       (3)      (4)     (5)        (6)       (7)      (8)     (9)     (10)
-------------------------------------------------------------------------------------------------------------------------------------------------------
      All industries .......................................17,926 2,047,307 1,570,563  77,825  201,126     6,684.6   2,156 6,053,306 17,926 2,047,307

Petroleum .................................................. 1,385   235,574   284,663  13,387   10,576       231.4      90   511,605  1,628   389,452
  Oil and gas extraction ...................................   728   109,153    50,149   7,233    3,538        97.5      37       (D)    174     7,000
    Crude petroleum extraction (no refining) and natural gas   429    95,285       (D)     (D)    2,384        61.1      19    14,693     47     3,505
    Oil and gas field services .............................   299    13,868       (D)     (D)    1,154        36.4      18       (D)    127     3,495
  Petroleum and coal products ..............................   105    75,482   109,548   2,921    4,418        70.0      32   312,893  1,223   252,268
    Integrated petroleum refining and extraction ...........    13    32,447    38,707   1,376    1,845        24.6      26   303,422  1,167   248,754
    Petroleum refining without extraction ..................    53    41,584    68,561   1,498    2,368        38.0       4       (D)     33       (D)
    Petroleum and coal products, nec .......................    39     1,451     2,280      47      205         7.4       2       (D)     23       (D)
  Petroleum wholesale trade ................................   361    34,481   100,548   2,508    1,728        39.8      15   160,685    170       (D)
  Other ....................................................   191    16,458    24,417     724      891        24.2       6       (D)     61       (D)
    Petroleum tanker operations ............................    43     6,119     3,893     230      226         5.9       4     2,637     18       (D)
    Petroleum and natural gas pipelines ....................    43     4,280     3,350     231      213         5.3       2       (D)     43       (D)
    Petroleum storage for hire .............................    24     1,034       293      28       47         1.2       0         0      0         0
    Gasoline service stations ..............................    81     5,024    16,880     235      405        11.8       0         0      0         0

Manufacturing .............................................. 7,420   612,341   753,023  28,317  120,220     3,979.7   1,292 2,166,841 12,048   986,685

  Food and kindred products ................................   746    81,004    95,360   6,385   12,286       551.3      64   211,412  1,320   136,723
    Grain mill and bakery products .........................   171    14,883    22,366     896    2,885        97.5      11    35,547    197    13,670
      Grain mill products ..................................   142       (D)    18,994     635    2,088        67.0      10       (D)    196       (D)
      Bakery products ......................................    29       (D)     3,371     261      797        30.6       1       (D)      1       (D)
    Beverages ..............................................   166    28,028    25,250   2,915    2,916       159.8      15   105,460    392    72,047
    Other ..................................................   409    38,094    47,744   2,574    6,485       294.0      38    70,405    731    51,006
      Meat products ........................................    32     1,516       (D)     (D)      (D)         J         7    33,689    413    29,249
      Dairy products .......................................    39     3,483     7,060     551      674        24.0       3     3,913     43       (D)
      Preserved fruits and vegetables ......................    84     6,579     7,290     479    1,259        62.5       9    14,072    115     8,396
      Other food and kindred products ......................   254    26,517       (D)     (D)      (D)         M        19    18,731    160       (D)

  Chemicals and allied products ............................ 1,864   132,702   138,463   8,151   21,372       577.0     171   363,245  2,898   206,475
    Industrial chemicals and synthetics ....................   539    59,774    53,086   2,211    6,998       166.4      60   160,663    971    90,825
    Drugs ..................................................   494    34,671    37,867   3,651    7,452       187.7      34   122,440    996    72,867
    Soap, cleaners, and toilet goods .......................   376    20,006    30,863   1,400    4,491       152.6      35    55,735    590    32,219
    Agricultural chemicals .................................    61     2,820     2,540      53      266         8.6       6     4,614     23       (D)
    Chemical products, nec .................................   394    15,430    14,107     835    2,165        61.7      36    19,793    318       (D)

  Primary and fabricated metals ............................   665    27,840    27,060     695    5,352       195.2     152    97,289    739    43,049
    Primary metal industries ...............................   138    11,844     9,072     -49    1,542        57.0      53    54,964    298    26,504
      Ferrous ..............................................    56       930     1,316      21      263         9.3      26    18,990     98     1,901
      Nonferrous ...........................................    82    10,914     7,756     -70    1,280        47.7      27    35,974    200    24,603
    Fabricated metal products ..............................   527    15,996    17,988     744    3,810       138.2      99    42,325    441    16,545
      Metal cans, forgings, and stampings ..................    81     4,334     4,875      44      796        25.3      13    22,149    117    10,113
      Cutlery, hand tools, and screw products ..............   104     4,120     3,610     359      740        30.3      19     5,269     92     1,882
      Heating and plumbing equipment and structural metal pr    78     2,363     2,965      85      764        27.4      22     7,472     96     2,504
      Fabricated metal products, nec, ordnance, and services   264     5,180     6,539     256    1,510        55.1      45     7,435    136     2,046

  Industrial machinery and equipment .......................   961    88,953   114,486   1,313   19,461       473.1     246   210,462  2,090   174,760
    Farm and garden machinery ..............................    19       (D)       (D)     (D)      (D)         J         9    23,365    131       (D)
    Construction, mining, and materials handling machinery .   158     8,916    11,619      85    2,216        66.8      35    25,013    219    11,897
    Computer and office equipment ..........................   144    58,307    76,413     772   11,189       217.1      62   112,632    763   120,649
    Other ..................................................   640       (D)       (D)     (D)      (D)         M       140    49,453    977       (D)
      Engines and turbines .................................    46     3,272     4,118     139      729        25.0       6     3,414     33       (D)
      Metalworking machinery ...............................    81     1,619     1,877       4      442        13.5      26     8,098    173    10,769
      Special industry machinery ...........................   160     3,495     3,613      43      910        25.1      38     6,507    139     2,468
      General industry machinery and equipment .............   190     5,878     6,430     242    1,760        46.7      41    15,562    331     8,184
      Refrigeration and service industry machinery .........   104     3,785     5,225     168      966        43.2      16    13,427    227     8,068
      Industrial machinery and equipment, nec ..............    59       (D)       (D)     (D)      (D)         J        13     2,444     74       (D)

  Electronic and other electric equipment ..................   784    48,912    59,009   2,531   10,889       551.6     164   328,980  1,067    72,538
    Household appliances ...................................    65     7,800    10,448     312    2,105       103.2      11    10,645     84     7,173
    Household audio and video, and communication equipment .    78       (D)       (D)     (D)      (D)         K        27    24,574    150       (D)
    Electronic components and accessories ..................   426    23,036    29,905   1,290    5,420       300.2      84   260,179    549    50,919
    Electronic and other electric equipment, nec ...........   215       (D)       (D)     (D)      (D)         M        42    33,582    284       (D)

  Transportation equipment .................................   419   106,142   184,524   2,972   24,133       712.2      80   500,103  1,119   196,444
    Motor vehicles and equipment ...........................   361   102,941   180,740   2,780   23,093       682.0      48   380,193    634   172,982
    Other ..................................................    58     3,201     3,784     192    1,040        30.2      32   119,910    485    23,462

  Other manufacturing ...................................... 1,981   126,787   134,121   6,271   26,728       919.3     415   455,351  2,815   156,697
    Tobacco products .......................................    75    13,185    11,022   1,759    1,451        69.0       8       (D)    243    15,287
    Textile products and apparel ...........................   193     7,074     8,657     244    1,809       105.5      44    23,519    148     6,179
      Textile mill products ................................    68     2,745     2,547     174      518        18.3      22    12,143     64       (D)
      Apparel and other textile products ...................   125     4,328     6,110      70    1,291        87.2      22    11,376     84       (D)
    Lumber, wood, furniture, and fixtures ..................   103     5,396     7,862     129    1,611        65.1      25    24,053    152     4,192
      Lumber and wood products .............................    27     2,882     3,612     167      737        20.3      11       (D)     20       388
      Furniture and fixtures ...............................    76     2,514     4,250     -38      874        44.8      14       (D)    132     3,804
    Paper and allied products ..............................   253    32,206    24,504     460    4,953       154.7      42   106,237    437    43,899
      Pulp, paper, and board mills .........................    45    14,332     6,840    -168    1,615        46.2      18    63,933    116    16,497
      Other paper and allied products ......................   208    17,873    17,665     629    3,337       108.5      24    42,303    321    27,401
    Printing and publishing ................................   153     5,696     7,025     365    1,322        37.3      48    66,543    248     7,394
      Newspapers ...........................................    11       674       566     -28      164         3.6       9    24,568     53     2,537
