YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,POSS_TX_CR_IND,POSS_TX_CR,NCS_FL_CR_IND,NCS_FL_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2004,1,1,1,0,5557965,0,60117759331,0,2730468320,0,10690858849,0,166296012,0,1386128237,0,1571309466,0,1366224245,0,4449284482,0,183667567,0,4626579648,0,22657060564,0,7973940602,0,3930550044,0,269600908,0,116413985,0,362615279,0,2772388173,0,508581335,0,3799474366,0,60117759331,0,5645442995,0,4398614808,0,13534418924,0,504947743,0,8154008233,0,7065958007,0,20814368622,0,2308398504,0,16160039808,0,218699183,0,3058994776,0,931763649,0,22711863939,0,19975875761,0,1337625869,0,47221454,0,132058314,0,141999230,0,24993598,0,110055554,0,81501337,0,19505243,0,58411038,0,782616541,0,21636155758,0,12497904654,0,416761257,0,2168288908,0,142843894,0,139664267,0,419657325,0,446793685,0,938790256,0,11596559,0,129766141,0,690857316,0,11960564,0,238662306,0,149061713,0,298070744,0,42751870,0,2892724299,0,1075708181,0,83205831,0,1111692655,0,1455796796,0,344104141,0,217378830,0,318856178,0,101256466,0,26571035,0,857391889,0,299555304,0,296200379,0,3438545,0,56872180,0,941968,0,2725372,0,10724914,0,3737618,0,224435343,0,557240020,0,5877001
2004,1,1,2,0,701095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360362431,0,274721056,0,43727770,0,450647,0,2550816,0,517952,0,392412,0,8577571,0,6921395,0,2050043,0,332081,0,20120689,0,356482991,0,160355015,0,9595843,0,33579667,0,2465528,0,7911928,0,8595826,0,12192425,0,30200873,0,125295,0,2232423,0,9250640,0,28463,0,2570473,0,2171702,0,3178313,0,8418808,0,63609768,0,3879440,0,209998,0,3638790,0,32929466,0,29290675,0,2042747,0,10311621,0,5042617,0,527406,0,15385659,0,4503520,0,4345516,0,77080,0,184622,0,1032,0,0,0,222278,0,18040,0,4076062,0,13645701,0,52574
2004,1,1,3,0,3966884,0,383379360,0,87634533,0,41631629,0,333798,0,44993975,0,264655,0,373886,0,19490082,0,23453740,0,2663677,0,17896873,0,382039078,0,273811090,0,837120,0,374260,0,14475917,0,27259159,0,11547556,0,6431740,0,383379360,0,41908990,0,39944135,0,47594186,0,114493546,0,102599892,0,15982929,0,20855682,0,50133215,0,106554826,0,1373447,0,-121659556,0,15546250,0,1733209411,0,1702410854,0,972419,0,35450,0,918724,0,337732,0,106799,0,1994160,0,2820232,0,132997,0,40039,0,23440005,0,1669343610,0,686284512,0,171393173,0,257343045,0,16238339,0,2164013,0,80103486,0,49965221,0,11402120,0,263216,0,2161542,0,30232305,0,86001,0,18672489,0,14450860,0,18222154,0,1195598,0,309165536,0,63865801,1,20101,0,63850452,0,106843362,0,42992910,0,67844480,0,6406054,0,6297303,0,105167,0,8436457,0,1568850,0,1603741,0,5821,0,3456,0,2,1,13,0,26509,0,2602,0,1536268,0,2371662,0,131302
2004,1,1,4,0,356184,0,249055234,0,40568975,0,38076323,0,573925,0,34666120,0,213822,0,283219,0,15217086,0,8029098,0,2527094,0,14702262,0,179941654,0,114784489,0,576568,0,237576,0,16620520,0,13558670,0,5376100,0,5045915,0,249055234,0,30251916,0,22935728,0,19482940,0,33419150,0,68929211,0,5649893,0,68386396,0,24219253,0,39551392,0,1363294,0,12113755,0,8861299,0,597725892,0,585063383,0,715669,0,34386,0,691400,0,122994,0,81954,0,1357823,0,1315754,0,94284,0,9277,0,8238967,0,582875826,0,307936732,0,38713377,0,76548018,0,5578469,0,1549555,0,19431475,0,16374233,0,5357692,0,97929,0,1090096,0,13195920,0,30015,0,5548060,0,3402832,0,6484688,0,280265,0,81256469,0,14850066,1,779,0,14816460,0,27100576,0,12284116,0,15328608,0,2435158,0,2280657,0,74532,0,4081325,0,980508,0,977053,0,3841,0,6677,0,125,1,6,0,13130,0,1008,0,959562,0,1087851,1,263
2004,1,1,5,0,386689,0,815358509,0,103396597,0,158734055,0,2281374,0,131497309,0,2039686,0,1121771,0,57001837,0,17070074,0,7794091,0,63664436,0,468686394,0,276620702,0,1817150,0,905153,0,49969804,0,24888435,0,9176394,0,16660492,0,815358509,0,111973386,0,92061784,0,82099481,0,78006381,0,199587166,0,29038465,0,222591845,0,70781163,0,149291419,0,2598128,0,18790882,0,18869747,0,1689794715,0,1655993456,0,1988887,0,149990,0,1477664,0,469422,0,156820,0,3869908,0,2950728,0,275370,0,82673,0,22379800,0,1655663517,0,1060661319,0,62660217,0,180810878,0,11506772,0,4496955,0,43111027,0,37971313,0,17098102,0,245371,0,2303301,0,33503087,0,192421,0,13366251,0,6687214,0,18160129,0,993326,0,161895832,0,34131198,0,11719,0,33992927,0,68138960,0,34146033,0,37201872,0,5723073,0,4978147,0,254016,0,12214740,0,3650293,0,3617851,0,23581,0,26749,0,2360,1,8668,0,71373,0,21811,0,3519333,0,4412917,0,113449
2004,1,1,6,0,61121,0,426030168,0,50522438,0,89493873,0,1395545,0,87750557,0,2121434,0,1589307,0,30042402,0,6350305,0,4213903,0,37613022,0,196154936,0,113723070,0,1726267,0,822598,0,16325671,0,13858978,0,5259917,0,9468205,0,426030168,0,61883930,0,71692802,0,42476955,0,21955153,0,86788698,0,13821670,0,127410959,0,38285655,0,83767775,0,619790,0,12648970,0,7911231,0,888688357,0,870030295,0,1516897,0,128390,0,675292,0,272178,0,71141,0,1641976,0,1046462,0,161965,0,100637,0,13043124,0,872742037,0,623801911,0,20164750,0,78764697,0,4377079,0,2028260,0,16810254,0,16750635,0,7273654,0,120057,0,1197760,0,15410686,0,110340,0,7262337,0,2915799,0,8869479,0,562911,0,66321427,0,15946319,0,14636,0,15832565,0,31164553,0,15331988,0,17178839,0,2235816,0,2012271,0,138639,0,7562341,0,2548235,0,2525501,0,23577,0,27517,0,8175,1,850,0,36848,0,29166,0,2445679,0,1878036,0,36078
2004,1,1,7,0,39986,0,615452514,0,67525365,0,133013369,0,3140391,0,116623139,0,5491007,0,3347063,0,42715032,0,6011104,0,6463662,0,74587275,0,255879806,0,143739716,0,2303903,0,834409,0,20072005,0,23240445,0,8517654,0,14411510,0,615452514,0,83448454,0,97943021,0,73766394,0,23155346,0,108710194,0,22712387,0,205716717,0,60593354,0,137927040,0,1287581,0,16480857,0,10572114,0,1149705508,0,1122671564,0,2246931,0,281099,0,1048928,0,493988,0,187145,0,2023928,0,1775236,0,195857,0,128212,0,18652619,0,1127971633,0,819079698,0,19650585,0,97706437,0,5030823,0,3001843,0,19481068,0,19429271,0,9429252,0,152961,0,2139276,0,21183957,0,231905,0,10048738,0,3321545,0,12402292,0,819266,0,84862716,0,21733875,0,103686,0,21556461,0,41160489,0,19604028,0,22274853,0,3512392,0,2976980,0,169464,0,10694167,0,3684759,0,3625593,0,52827,0,70729,0,15267,0,445,0,56597,0,30343,0,3511343,0,3034018,0,70241
2004,1,1,8,0,15012,0,517736115,0,50057760,0,115715089,0,3073106,0,70958808,0,11724545,0,7394352,0,32631928,0,3234842,0,8360834,0,87894279,0,187831348,0,101216195,0,2697338,0,1015529,0,13431609,0,29588128,0,11591766,0,13111850,0,517736115,0,64018013,0,58257873,0,80924340,0,12758346,0,84794749,0,32126516,0,184856278,0,46336838,0,155379001,0,1306578,0,-10358609,0,7807530,0,736571938,0,710839206,0,3546649,0,639058,0,1026966,0,605632,0,255825,0,2562189,0,1610905,0,146260,0,189937,0,15149311,0,718369342,0,503616414,0,10655479,0,66871430,0,3410574,0,2088264,0,12780058,0,12713957,0,7653967,0,135721,0,2031645,0,16503589,0,211772,0,6893215,0,2356851,0,8650073,0,757972,0,61038361,0,18202596,0,135296,0,17698834,0,31893423,0,14194589,0,14541943,0,4802052,0,2808662,0,179975,0,10076304,0,3492074,0,3435265,0,55473,0,93668,0,24783,0,963,0,59427,0,31536,0,3281627,0,4433814,0,65743
2004,1,1,9,0,9567,0,679159194,0,51198955,0,161244156,0,3874165,0,61767160,0,26300351,0,20587879,0,37629648,0,2862704,0,19011906,0,153946651,0,186250297,0,97736025,0,3887903,0,1522091,0,11714050,0,38851853,0,9431092,0,16469054,0,679159194,0,72063013,0,49104443,0,149419390,0,9179735,0,92541985,0,28006884,0,278843744,0,53713540,0,241041787,0,2101260,0,-9906180,0,8106662,0,657697549,0,627882535,0,7629377,0,1233074,0,1383028,0,1666766,0,501044,0,2080095,0,1327839,0,235795,0,214033,0,13543964,0,639744073,0,433579715,0,8519001,0,60757735,0,3335117,0,2073888,0,10827377,0,11618771,0,9534477,0,157373,0,2840738,0,16701971,0,257525,0,6328538,0,2252224,0,8361130,0,841099,0,61757395,0,17953476,0,252821,0,16973223,0,30010379,0,13037156,0,10731059,0,5532127,0,3119831,0,236093,0,12037344,0,4182888,0,4120455,0,64517,0,125118,0,21774,0,720,0,78434,0,38696,0,3917585,0,7342542,0,191014
2004,1,1,10,0,8984,0,1435685928,0,85983489,0,329336539,0,7162566,0,75813463,0,67839031,0,69241780,0,67454286,0,2932852,0,58006081,0,427812552,0,280004017,0,143532489,0,8629686,0,3622472,0,16476555,0,84596804,0,19699064,0,35575382,0,1435685928,0,125150170,0,64220162,0,352995092,0,10992414,0,164540694,0,58407307,0,659380089,0,119059501,0,575212315,0,5633450,0,-24917626,0,15607550,0,880104503,0,815285987,0,21294137,0,3810796,0,2613050,0,2060744,0,1678977,0,4190495,0,3271027,0,344614,0,906781,0,24647894,0,843044610,0,532723758,0,9600125,0,90746439,0,4870268,0,3963210,0,17721392,0,15823512,0,18437320,0,296178,0,5201698,0,23693843,0,539506,0,8762502,0,3463460,0,12569040,0,1742634,0,92889727,0,37059893,0,645044,0,33894141,0,52128060,0,18233919,0,13429692,0,13316763,0,5403121,0,636272,0,23779435,0,8393447,0,8225322,0,162085,0,435191,0,170797,0,1012,0,152671,0,103637,0,7529446,0,18833066,0,237987
