YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,POSS_TX_CR_IND,POSS_TX_CR,NCS_FL_CR_IND,NCS_FL_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2005,1,1,13,0,2405,0,51960677162,0,1902650686,0,9392998686,0,121244576,0,543744598,0,1188329731,0,986138925,0,4620626553,0,327466713,0,4302725949,0,20394266990,0,4858776510,0,2174581099,0,216067839,0,92479305,0,164849343,0,2077608934,0,321577920,0,3694308605,0,51960677162,0,4552879452,0,3378420806,0,14167224309,0,168555927,0,6366948580,0,6575835894,0,16750812193,0,1439538484,0,12281418625,0,189003214,0,3687937137,0,847085266,0,12178560901,0,9324280141,0,1460128098,0,33787234,0,104765765,0,124332470,0,18092935,0,95709227,0,46383748,0,15455504,0,293791703,0,661834076,0,10973600442,0,6057984866,0,42922346,0,942734622,0,70598539,0,82948891,0,134989768,0,197525553,0,1019792874,0,12038302,0,91589833,0,306008908,0,9773874,0,126994163,0,82817484,0,144863370,0,6890358,0,18509990,0,1624616701,0,1204960459,0,100964915,0,1272138140,0,1329257216,0,57119076,0,2095300,0,468154219,0,67581106,0,214443405,0,868428494,0,305837840,0,303651181,0,2111632,0,72058429,0,391848,0,3374171,0,11195715,0,5771466,0,212917298,0,476522420,0,12331048
2005,1,1,12,0,6012,0,7372297893,0,263412360,0,1109621491,0,20350429,0,236048990,0,245096246,0,289591644,0,288336171,0,38231664,0,288164683,0,3227636549,0,1061006355,0,480162365,0,60732472,0,21701320,0,60456739,0,573707004,0,103783208,0,256252847,0,7372297893,0,704193799,0,236945840,0,1083482845,0,44409741,0,811023803,0,453042609,0,4039199256,0,463835487,0,3306357795,0,30165817,0,394459245,0,155619088,0,3063700726,0,2676651309,0,121932230,0,14890867,0,16488049,0,18738976,0,12613076,0,20733293,0,6792549,0,1872373,0,58371830,0,114616175,0,2782842804,0,1697113040,0,21463051,0,298526387,0,17425915,0,9135568,0,50716943,0,60122420,0,96867465,0,2305259,0,22290325,0,65367838,0,3077690,0,34462096,0,17329700,0,45774904,0,1413581,0,5408616,0,334042006,0,280857923,0,13831955,0,279799010,0,312053562,0,32254552,0,12738323,0,128561321,0,21137164,0,43014839,0,171339765,0,60459095,0,59893079,0,553759,0,7734331,0,187469,0,13382,0,1337042,0,818027,0,50364959,0,126439917,0,924953
2005,1,1,11,0,4809,0,1741949089,0,77890334,0,337289118,0,6320831,0,67794625,0,70016155,0,92643259,0,71911881,0,3507562,0,78806317,0,640057813,0,274181005,0,134465900,0,11666926,0,5475565,0,15107414,0,126287903,0,24293584,0,45344658,0,1741949089,0,138910239,0,68376003,0,382882140,0,7809808,0,184484641,0,77175563,0,882310695,0,123173390,0,739098353,0,7218793,0,32071629,0,19251471,0,817354678,0,735550334,0,31635915,0,4712168,0,3570364,0,3737856,0,2829982,0,2948533,0,1714743,0,433226,0,3975608,0,26245950,0,763956080,0,480643381,0,7270413,0,78669666,0,4652116,0,2794151,0,14000289,0,15593990,0,23875361,0,375539,0,6508060,0,18746438,0,500721,0,8173589,0,3578043,0,11909911,0,257796,0,1285811,0,85120804,0,53398599,0,1054436,0,49740866,0,62375576,0,12634710,0,9331229,0,21020410,0,5240829,0,2738521,0,32014740,0,11273507,0,11137256,0,124398,0,624052,0,111160,0,5022,0,236516,0,144718,0,10150832,0,26384969,0,477899
2005,1,1,10,0,9316,0,1490548405,0,91745162,0,342850009,0,7078107,0,85539473,0,65229650,0,65292879,0,72556816,0,2871746,0,55933809,0,432812126,0,294688353,0,149261343,0,8606537,0,3381282,0,17073380,0,96351554,0,20247037,0,38964681,0,1490548405,0,139132345,0,66791926,0,361796366,0,14503350,0,181264998,0,56435530,0,670623889,0,110558570,0,578470461,0,4799571,0,-6685360,0,16519354,0,1012405328,0,942167969,0,23702949,0,3496546,0,2955519,0,2646068,0,2024340,0,5206989,0,2291730,0,421936,0,1888209,0,25603073,0,961000910,0,629251568,0,10237643,0,101120978,0,5229301,0,3932909,0,18583836,0,17817050,0,22243002,0,366705,0,5462970,0,18056097,0,602839,0,9809584,0,3860398,0,12658029,0,239061,0,1662642,0,99866298,0,51404418,0,752940,0,48660813,0,64825605,0,16164793,0,16246585,0,16411079,0,6794418,0,1430138,0,31250096,0,10983815,0,10836294,0,134932,0,581034,0,123461,0,118,0,199546,0,143490,0,9935667,0,21848212,0,238564
2005,1,1,9,0,9887,0,699918213,0,54924450,0,166762022,0,3899202,0,66030890,0,25000384,0,20131238,0,39413943,0,2649733,0,18340029,0,155856223,0,191762948,0,99447151,0,3241827,0,1087661,0,13080473,0,40325351,0,9300906,0,16133623,0,699918213,0,76077875,0,49979083,0,150732420,0,10138406,0,98753827,0,27667032,0,286569569,0,50627864,0,234261426,0,2391347,0,7861679,0,8572747,0,693615075,0,658335711,0,8197602,0,1208832,0,1340259,0,734597,0,564405,0,5285141,0,1764337,0,180110,0,417801,0,15586281,0,668473227,0,452761766,0,9366579,0,64092905,0,3688641,0,1884800,0,12350655,0,12377224,0,11037464,0,170604,0,2722494,0,12242404,0,238479,0,6014761,0,2469368,0,8748181,0,103478,0,1160048,0,67043375,0,25141848,0,241522,0,24174538,0,39401076,0,15226538,0,15110748,0,8819356,0,4066220,0,348967,0,14239710,0,4973109,0,4890601,0,85116,0,173360,0,20813,0,34,0,98162,0,56055,0,4624285,0,9983356,0,100872
2005,1,1,8,0,15808,0,555194699,0,54855810,0,124392323,0,3423436,0,76979433,0,10444416,0,7397888,0,38786998,0,3639884,0,8707788,0,90757514,0,198709106,0,107046076,0,3489081,0,1213231,0,14425369,0,31059347,0,11335475,0,14567960,0,555194699,0,71398366,0,62353940,0,85363441,0,13301343,0,90915601,0,38355162,0,193506845,0,52816179,0,164707969,0,1166452,0,-17303002,0,7880753,0,812566876,0,785876229,0,3936023,0,544800,0,1219273,0,818922,0,258664,0,2940211,0,1917146,0,137999,0,468226,0,14449382,0,787488543,0,558908686,0,11587497,0,71405889,0,3610264,0,1881986,0,13125428,0,13527166,0,9435719,0,165015,0,2236873,0,12626134,0,328415,0,6957928,0,2674954,0,8981759,0,89649,0,2494635,0,67450546,0,25078333,0,302193,0,24835726,0,39937052,0,15101326,0,18841138,0,5182940,0,3577067,0,380955,0,13459430,0,4678404,0,4605630,0,62110,0,163495,0,27482,1,1064,0,80967,0,38469,0,4366840,0,5660818,0,117231
2005,1,1,7,0,42736,0,654348093,0,73467741,0,143015533,0,3466539,0,119420317,0,5635298,0,3605396,0,47014242,0,6589963,0,5991426,0,79033828,0,266319932,0,147575688,0,2105033,0,778567,0,22375443,0,23901255,0,8158811,0,15852292,0,654348093,0,91098094,0,99180118,0,77468544,0,25789804,0,117037794,0,22671240,0,221102499,0,59083267,0,143733026,0,1315712,0,28367903,0,11397411,0,1223997461,0,1192323776,0,2914192,0,303563,0,1068750,0,431811,0,294774,0,2913993,0,2702840,0,204799,0,150427,0,20688534,0,1191108460,0,870508063,0,21654741,0,101175546,0,5584217,0,3625870,0,20581353,0,20314639,0,11727763,0,199149,0,2208590,0,16064747,0,303128,0,9757307,0,3518643,0,12720608,0,97698,0,2020114,0,89046284,0,32889001,0,94596,0,32680034,0,52952197,0,20272163,0,30232261,0,4798339,0,4005880,0,246423,0,13506966,0,4646895,0,4588056,0,53891,0,61209,0,9650,1,1103,0,77466,0,40349,0,4456998,0,3881955,0,46701
2005,1,1,6,0,66278,0,463000889,0,56390738,0,99726711,0,1606789,0,92055412,0,1305573,0,1464498,0,34414720,0,6423713,0,5617249,0,40730605,0,211693421,0,122222580,0,1414701,0,630519,0,17186685,0,14117593,0,4908499,0,9827657,0,463000889,0,66818764,0,73110900,0,54114444,0,24065217,0,92718368,0,13380338,0,138792858,0,42754259,0,90943004,0,799845,0,12223640,0,7927890,0,971980526,0,950179853,0,1527702,0,206419,0,658513,0,280927,0,123265,0,2251989,0,1521740,0,166096,0,102018,0,14962005,0,946087276,0,673751369,0,23512280,0,86161360,0,5026489,0,2538709,0,19255652,0,18327439,0,8924807,0,156669,0,1112792,0,12028753,0,167486,0,6878114,0,3401384,0,9386317,0,59801,0,425421,0,74972433,0,25893250,0,15380,0,25702212,0,40370448,0,14668236,0,23649396,0,2913437,0,2446648,0,178674,0,9367290,0,3164228,0,3130922,0,30691,0,18461,0,8224,1,2832,0,47643,0,26752,0,3060316,0,2076540,0,87213
2005,1,1,5,0,406543,0,858170772,0,114177568,0,166040538,0,2079567,0,139904629,0,1783351,0,1266064,0,60292474,0,19165382,0,8112669,0,66556229,0,480566229,0,282684863,0,1817859,0,1087356,0,51062051,0,29559233,0,11748985,0,15467263,0,858170772,0,114724556,0,93835380,0,82676569,0,85660889,0,210071643,0,27180996,0,244020739,0,68402116,0,148722841,0,2676387,0,44624003,0,20404608,0,1792529109,0,1753714959,0,2728534,0,345552,0,1399306,0,600862,0,296677,0,4544366,0,3398272,0,366010,0,168847,0,24965722,0,1740068983,0,1112286875,0,66310543,0,193206987,0,12683455,0,4555305,0,44798575,0,39417823,0,17028104,0,313812,0,2241731,0,26915887,0,176272,0,15058802,0,7422491,0,19748932,0,66517,0,950188,0,176886683,0,52460126,0,49786,0,52164359,0,83498694,0,31334335,0,48118463,0,7291113,0,6478483,0,336317,0,14935227,0,4567870,0,4526737,0,41051,0,56069,0,1719,1,7269,0,98406,0,31678,0,4372716,0,3938151,0,174785
2005,1,1,4,0,370562,0,260923167,0,43654621,0,38159294,0,607225,0,34783514,0,187354,0,348131,0,15963659,0,10196797,0,2086542,0,15682527,0,189694530,0,120792410,0,337041,0,146018,0,16961856,0,14000923,0,4948531,0,5360562,0,260923167,0,29752619,0,22690022,0,20658918,0,37301531,0,73288539,0,8119086,0,69112453,0,21440558,0,52508528,0,1660639,0,1102553,0,7599826,0,642832416,0,624994627,0,701956,0,31638,0,669935,0,54184,0,111774,0,1342813,0,1356499,0,115235,0,14833,0,13438924,0,620026730,0,332886153,0,36784691,0,82964694,0,6065796,0,1498654,0,20210122,0,16963882,0,5994746,0,102922,0,943861,0,11322090,0,45930,0,5761894,0,3338850,0,6315726,0,10304,0,339111,0,88477304,0,22805686,1,26,0,22774074,0,35289317,0,12515243,0,19324882,0,4827926,0,4611983,0,92456,0,4473747,0,1077862,0,1065580,0,11274,0,2951,0,495,1,129,0,28808,0,1985,0,1043493,0,1184215,1,17379
