YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,POSS_TX_CR_IND,POSS_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2006,1,1,13,0,2568,0,58201028754,0,1934677903,0,11106660803,0,115625892,0,574307053,0,1319585467,0,1047361039,0,4887824778,0,413906849,0,4742891527,0,22993405621,0,5136926816,0,2272398422,0,267738122,0,93259852,0,197607918,0,2431440009,0,356586858,0,3984565871,0,58201028754,0,6388189959,0,3864888622,0,15197231019,0,299822476,0,7257442703,0,6202417282,0,18991036693,0,1452502073,0,13684528474,0,212366576,0,4780254721,0,1138615151,0,13152839346,0,9958101289,0,1933506250,0,37315403,0,105048604,0,130540510,0,27927664,0,98046020,0,57291112,0,22159240,0,58634616,0,724268640,0,11940746442,0,6447530251,0,45527475,0,987029142,0,71862098,0,68342587,0,137003772,0,206413687,0,1453795088,0,10322535,0,104580763,0,324587461,0,8882708,0,145776752,0,85488100,0,146796166,0,7976313,0,14448881,0,1674382662,0,1212092904,0,82487084,0,1257264586,0,1307428020,0,50163434,0,1370537,0,376371384,0,91966675,0,23858866,0,935280917,0,331737009,0,329264646,0,2349527,0,69201723,0,143684,0,12582173,0,4863719,0,244788112,0,681780651,0,3231947
2006,1,1,12,0,6351,0,7449429552,0,268105131,0,1002009016,0,20209648,0,263073590,0,227207784,0,290213615,0,294973779,0,22907661,0,299279391,0,3298806736,0,1102518039,0,497639755,0,77890716,0,24757544,0,66792079,0,625330398,0,102786244,0,255714809,0,7449429552,0,572353187,0,247814127,0,1125506509,0,44635018,0,918669099,0,427450749,0,4113000863,0,475644966,0,3212294719,0,35618181,0,554977432,0,165534434,0,3312672451,0,2943818688,0,140315618,0,15915241,0,15162314,0,21382677,0,17300787,0,21951562,0,7625283,0,3634700,0,9471421,0,116094160,0,3049199556,0,1890498053,0,22530732,0,325525881,0,18838585,0,9751098,0,56777762,0,65561355,0,108778453,0,2188202,0,23874519,0,69856229,0,3235639,0,36883123,0,17210266,0,49002945,0,1768473,0,3969292,0,342948950,0,263472895,0,12859501,0,260417155,0,298383738,0,37966583,0,12193990,0,107798183,0,25571149,0,4335052,0,181766728,0,63814598,0,63099736,0,670217,0,6950542,0,356760,0,1543051,0,592345,0,54366849,0,165588282,0,1050700
2006,1,1,11,0,4991,0,1818034435,0,84037545,0,347471177,0,7179961,0,76503229,0,64121060,0,86185172,0,80650819,0,2907867,0,81217985,0,665861401,0,291358311,0,140102024,0,11727525,0,5019535,0,16444164,0,138580735,0,24216215,0,47485179,0,1818034435,0,154023053,0,62228397,0,390327454,0,6493494,0,203510084,0,83403775,0,918048177,0,120836435,0,745009403,0,5795475,0,65309375,0,18902512,0,920029324,0,823600604,0,35644152,0,4656890,0,4013440,0,3077111,0,4010636,0,7146013,0,2651571,0,2050632,0,2341363,0,30836912,0,858360295,0,542081511,0,8385585,0,87645725,0,4954515,0,4215366,0,16277661,0,16483811,0,30179700,0,339115,0,6666434,0,20265335,0,798144,0,8233064,0,3820648,0,12860628,0,349283,0,1488195,0,93315574,0,61669030,0,950364,0,57962504,0,72267173,0,14304669,0,9066209,0,28504668,0,6453708,0,3252092,0,36395441,0,12813235,0,12659752,0,139111,0,911181,0,20309,0,257889,0,91911,0,11530954,0,33863484,0,277642
2006,1,1,10,0,9543,0,1531023998,0,94025249,0,351866926,0,6981181,0,95723421,0,59803084,0,60513189,0,72910308,0,3251572,0,55169202,0,440687589,0,299697704,0,148345750,0,9656619,0,3255426,0,18668348,0,104088436,0,19159372,0,42704078,0,1531023998,0,155122853,0,69872691,0,356957705,0,15977267,0,188061908,0,53670334,0,691361240,0,111169748,0,561803474,0,4365364,0,30424376,0,16401723,0,1052705705,0,974850575,0,26941627,0,3368668,0,3437861,0,2335491,0,2289818,0,5956157,0,2186312,0,649949,0,1183082,0,29506166,0,999072153,0,659522784,0,11693591,0,97886173,0,5349067,0,3111506,0,17643870,0,18127966,0,27537403,0,368598,0,5603107,0,19499046,0,607234,0,10343020,0,3754975,0,13938743,0,294804,0,1516803,0,102273464,0,53633552,0,778714,0,51043598,0,67414451,0,16370853,0,17071846,0,16615073,0,6633942,0,667987,0,32622746,0,11422225,0,11294753,0,121476,0,585709,0,37894,0,251354,0,115559,0,10431308,0,26633450,0,260167
2006,1,1,9,0,10570,0,748960076,0,60888193,0,170911449,0,4035623,0,72724068,0,24733350,0,19227386,0,43391749,0,3214985,0,19048452,0,170199535,0,200812112,0,102706293,0,4721067,0,1479696,0,14278862,0,44004036,0,8959622,0,17986067,0,748960076,0,83667651,0,54240560,0,150101516,0,11409551,0,109081855,0,29764329,0,310694614,0,57682784,0,242760330,0,2149253,0,16689923,0,8587676,0,757043839,0,721615324,0,9423398,0,1212739,0,1475945,0,939497,0,824049,0,3988434,0,1763271,0,256072,0,235285,0,15309825,0,729662199,0,496566089,0,10458219,0,70539777,0,3777183,0,2407639,0,13190873,0,13279782,0,14019061,0,191614,0,2786917,0,13248010,0,359196,0,6662242,0,2743991,0,9190798,0,145178,0,797056,0,69298575,0,27381640,0,282080,0,26450980,0,41790521,0,15339540,0,16312670,0,6995607,0,3985020,0,231565,0,16625496,0,5785394,0,5700523,0,85310,0,173177,0,13767,0,95221,0,45873,0,5456937,0,7984056,0,195285
2006,1,1,8,0,16765,0,585293602,0,59135121,0,129088120,0,3480978,0,83424609,0,9581165,0,6913758,0,39584519,0,3939930,0,8381753,0,97257651,0,200470742,0,106257519,0,3319005,0,1286632,0,16901794,0,29190986,0,7826267,0,16955846,0,585293602,0,73544066,0,65165776,0,85868343,0,15297829,0,97233356,0,22881756,0,225302477,0,55526174,0,166658091,0,1007086,0,10317625,0,8206500,0,873746730,0,845266084,0,4911587,0,522935,0,1037686,0,705956,0,324109,0,3201107,0,1663390,0,253148,0,150667,0,15710061,0,848987069,0,611227347,0,13035899,0,73852052,0,3769272,0,2016545,0,13751491,0,14065920,0,11233748,0,165572,0,2070246,0,13487893,0,248173,0,7386762,0,2965667,0,9099886,0,122577,0,840369,0,69647651,0,24759661,0,153314,0,24390040,0,41289550,0,16899510,0,19781418,0,4918394,0,3289559,0,250925,0,14181105,0,4894547,0,4821086,0,62429,0,112080,0,1730,0,87906,0,31511,0,4661237,0,5155753,0,42694
2006,1,1,7,0,44975,0,692291681,0,79448485,0,149503701,0,3351220,0,125646184,0,5390557,0,4079929,0,49721006,0,7117688,0,7851585,0,82956806,0,276610268,0,150667356,0,2345382,0,885985,0,23728485,0,33022550,0,15523157,0,15296772,0,692291681,0,96426915,0,104645447,0,82107548,0,26998986,0,125137988,0,22818592,0,234156204,0,57192173,0,149641367,0,1532304,0,38203564,0,12413204,0,1288058632,0,1255676853,0,3423166,0,398614,0,1038203,0,616366,0,202495,0,3840676,0,2246897,0,332191,0,122393,0,20160779,0,1250917641,0,915485746,0,22521196,0,106857752,0,5581403,0,3037043,0,21177132,0,21892800,0,13848914,0,191668,0,2208428,0,17560151,0,345969,0,10208919,0,3819566,0,13766934,0,151972,0,656282,0,91605765,0,37140991,0,86372,0,36828749,0,57238199,0,20409450,0,31429484,0,4476308,0,3459773,0,280098,0,16070288,0,5526867,0,5462924,0,52898,0,64057,0,4146,0,104286,0,33450,0,5320929,0,5085774,0,75526
2006,1,1,6,0,71407,0,501204266,0,63267371,0,104916032,0,1382148,0,101359424,0,1149172,0,1201103,0,37596076,0,6807443,0,4591702,0,46305756,0,221917090,0,125282899,0,1163732,0,643226,0,18691368,0,15394427,0,5601092,0,9752935,0,501204266,0,70489322,0,77056212,0,56439402,0,24283290,0,97581855,0,17540964,0,157813220,0,44452551,0,90862368,0,851287,0,31115291,0,9468277,0,1042833967,0,1021035737,0,2176902,0,205750,0,613112,0,295905,0,67134,0,1917891,0,1773224,0,168327,0,15846,0,14564139,0,1011898011,0,720812068,0,25002062,0,92748664,0,5284163,0,1961515,0,20282294,0,18572503,0,10734648,0,143679,0,1260933,0,13742113,0,122219,0,7185685,0,3464373,0,10155059,0,86077,0,335446,0,80004510,0,30935956,0,44112,0,30774319,0,46567113,0,15792795,0,29210043,0,2684856,0,2399205,0,114695,0,10019374,0,3395659,0,3360124,0,30934,0,27431,0,2318,0,57156,0,23315,0,3285438,0,1948365,0,34556
2006,1,1,5,0,421002,0,889243952,0,120974059,0,165901771,0,2820535,0,141526062,0,1665623,0,1795582,0,65036469,0,20550263,0,8287015,0,70642868,0,497092249,0,289986859,0,2162387,0,1122806,0,52093831,0,32452961,0,13017836,0,16010849,0,889243952,0,113529778,0,99687909,0,85520514,0,85587561,0,222232531,0,31803924,0,250881736,0,68914473,0,155403020,0,2982700,0,45435286,0,21853743,0,1856589822,0,1817007107,0,3289601,0,343761,0,1359515,0,576464,0,303705,0,4146542,0,3214283,0,374676,0,21116,0,25953053,0,1800985537,0,1139329283,0,72909600,0,202358137,0,13525615,0,4804633,0,47268889,0,41806330,0,19837283,0,295000,0,2318828,0,28857438,0,199512,0,14193648,0,8028504,0,20050728,0,105958,0,949397,0,184146755,0,55604285,0,7804,0,55268328,0,88445684,0,33177357,0,50879017,0,6795009,0,6020235,0,288311,0,16790075,0,5074998,0,5021171,0,42752,0,19910,0,86,0,94046,0,27814,0,4933142,0,3725032,0,324960
2006,1,1,4,0,383908,0,269742294,0,45049120,0,41019115,0,1065926,0,36148990,0,112840,0,391534,0,16593118,0,9716106,0,2110089,0,17360879,0,192979093,0,122824073,0,484094,0,199116,0,17451146,0,15727698,0,5677705,0,4365291,0,269742294,0,30966084,0,22537841,0,22304805,0,38110513,0,74682033,0,6415232,0,74725785,0,22524126,0,43127482,0,1493245,0,16185232,0,8604299,0,685039197,0,667861331,0,925829,0,49819,0,669432,0,82031,0,46685,0,1357723,0,1132127,0,129599,0,29532,0,12755090,0,664119968,0,366607876,0,38814454,0,86651126,0,6415316,0,1749407,0,22818649,0,17522657,0,6741755,0,101389,0,1126417,0,11139908,0,33669,0,6203421,0,3325889,0,6628704,0,14186,0,166607,0,88058538,0,20919229,1,380,0,20869790,0,33071525,0,12201734,0,19461961,0,2358783,0,2181567,0,120308,0,4659036,0,1141582,0,1135787,0,4855,0,2030,0,0,0,16000,0,965,0,1122588,0,1177042,1,18818
