YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,EXMT_INTRST_IND,EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,DIV_FRN_IND,DIV_FRN,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,CASH_PRPTY_DIST_IND,CASH_PRPTY_DIST,STCK_DIST_IND,STCK_DIST
2007,1,1,13,0,2848,0,66219919067,0,2628951082,0,12745804325,0,145347760,0,632871986,0,1402699415,0,1250467647,0,5741957398,0,447342683,0,4706108011,0,25859276731,0,5535016705,0,2376693451,0,390948447,0,126869895,0,223594048,0,2911416408,0,394091515,0,4786466802,0,66219919067,0,6358892497,0,3909400928,0,17133340320,0,400095391,0,8507306909,0,8227866945,0,21683016078,0,1704134095,0,16091324716,0,226120047,0,5092040622,0,1430603402,0,14494269537,0,10882663426,0,2205714335,0,43180067,0,113705017,0,137773206,0,52491385,0,132163855,0,49734102,0,30094476,0,74657687,0,772091981,0,13299479440,0,7192783111,0,47528277,0,1073825985,0,74889882,0,89945463,0,142949717,0,225489470,0,1687234515,0,10235534,0,117334028,0,350551777,0,13352946,0,148439572,0,84901140,0,155885683,0,16308567,0,25184373,0,1842639400,0,1194790096,0,105980849,0,1257590879,0,1356356524,0,98765645,0,4034489,0,442819237,0,68129032,0,19328723,0,928546175,0,327387202,0,325110307,0,2147546,0,79219678,0,13071156,0,2538019,0,232407658,0,869011483,0,3754147
2007,1,1,12,0,6749,0,7689360943,0,261357885,0,1036326429,0,20830378,0,249802324,0,222958796,0,290442275,0,300920780,0,23523259,0,289416989,0,3438382685,0,1093916962,0,483155755,0,66987708,0,19836246,0,69820182,0,690243234,0,99467985,0,278551799,0,7689360943,0,570323375,0,234346083,0,1202537290,0,66065789,0,1004022453,0,421379351,0,4190686602,0,488455337,0,3363833651,0,26406241,0,483743209,0,171751836,0,3208364224,0,2825711988,0,145478937,0,14694209,0,14155962,0,21546223,0,26954266,0,19808680,0,7103704,0,2253108,0,10859392,0,119797754,0,2980127638,0,1811296091,0,21985467,0,327634552,0,18627900,0,11787463,0,55305237,0,58109839,0,122033176,0,1619135,0,27219679,0,73542075,0,3000389,0,34260225,0,14992401,0,46204138,0,2458241,0,5108747,0,344942881,0,228236585,0,9030720,0,222573097,0,274188854,0,51615757,0,9912668,0,113889380,0,19620059,0,2197783,0,145943986,0,51556746,0,50981290,0,508083,0,5134214,0,1539571,0,290094,0,44586100,0,202025983,0,1169155
2007,1,1,11,0,5155,0,1860632251,0,88730330,0,362923046,0,7393967,0,79216645,0,65982289,0,87742974,0,81692394,0,3881530,0,82082277,0,671210803,0,287092069,0,135916459,0,12457895,0,5166564,0,18000247,0,140936729,0,22071155,0,49231167,0,1860632251,0,145179446,0,62199879,0,414332511,0,10298295,0,229663182,0,87630219,0,911328718,0,121372786,0,767387182,0,4669607,0,38637979,0,20738836,0,952199785,0,855633433,0,36818571,0,4660602,0,4186858,0,2854810,0,5210211,0,6457017,0,1659307,0,520945,0,1129822,0,33068208,0,898272856,0,570386254,0,8490775,0,88855820,0,5065526,0,4291622,0,17400763,0,16069354,0,33382076,0,351336,0,6987618,0,19775962,0,664363,0,9757038,0,3855780,0,13382169,0,576783,0,1430195,0,97549423,0,53926929,0,1458190,0,50724516,0,68297590,0,17573073,0,8897812,0,24025561,0,6331247,0,378931,0,35045520,0,12309113,0,12134990,0,133132,0,1051654,0,290801,0,90070,0,10875796,0,39693485,0,295934
2007,1,1,10,0,9757,0,1552979711,0,99723458,0,364174001,0,7505807,0,93862639,0,54568313,0,57775361,0,75509125,0,3539625,0,52219048,0,443931562,0,304037888,0,148647193,0,10633605,0,3833140,0,19251346,0,109646783,0,18956250,0,43049347,0,1552979711,0,141394366,0,72810970,0,372981293,0,17242310,0,194997424,0,59367700,0,694185648,0,107410252,0,568398071,0,3479466,0,33311436,0,18413578,0,1053104519,0,977637985,0,26688952,0,3267320,0,3233836,0,2421715,0,3488036,0,4496557,0,2655240,0,497866,0,509972,0,28207040,0,1010171954,0,657852569,0,12534032,0,102133481,0,5525866,0,3855499,0,18557014,0,17873152,0,29731282,0,329680,0,5935428,0,21545119,0,522345,0,10174863,0,3734480,0,13640310,0,495579,0,1760579,0,103970675,0,42932566,0,636927,0,40302173,0,62760370,0,22458197,0,14007136,0,16394689,0,5850699,0,387660,0,27976890,0,9822816,0,9695771,0,108257,0,412421,0,231893,0,69167,0,9099752,0,28067537,0,313042
2007,1,1,9,0,10916,0,772217595,0,66419373,0,172896190,0,4231466,0,74345816,0,22253568,0,17835958,0,45891439,0,2973084,0,17390732,0,173457885,0,206571678,0,104680218,0,4800469,0,1374690,0,15645319,0,50644479,0,9784897,0,21162875,0,772217595,0,81129743,0,55704064,0,152977380,0,13402030,0,112798708,0,32713866,0,323491803,0,58368238,0,259085006,0,1970074,0,13260771,0,9192287,0,782883911,0,745723249,0,9775556,0,1186237,0,1754876,0,880040,0,1038200,0,3584152,0,1376469,0,232225,0,299959,0,17032948,0,758133522,0,514120002,0,10900717,0,73845835,0,3787604,0,2128325,0,13887289,0,13288517,0,14700527,0,188205,0,3176721,0,14248848,0,345618,0,6639379,0,2793913,0,9268506,0,256803,0,677078,0,73879633,0,24750390,0,395064,0,23959217,0,41827985,0,17868768,0,15242956,0,6939245,0,3153969,0,167758,0,16621333,0,5780676,0,5701754,0,67868,0,247004,0,94507,0,47155,0,5391943,0,9789549,0,92673
2007,1,1,8,0,17151,0,600928851,0,62411319,0,130576300,0,3278710,0,82979714,0,9064370,0,7168165,0,42370568,0,4131787,0,7056424,0,102770401,0,202583017,0,105826294,0,3918697,0,1432356,0,17408469,0,37534127,0,13379682,0,14872536,0,600928851,0,74284997,0,64063183,0,89631410,0,15487274,0,103578714,0,22797986,0,231085287,0,49893428,0,178648858,0,915203,0,9732955,0,8105157,0,866032816,0,836977934,0,5031678,0,537790,0,1211462,0,798824,0,564287,0,3077969,0,1546363,0,209040,0,100594,0,15976875,0,843215327,0,604973968,0,13028284,0,73646832,0,3753942,0,2114259,0,14758585,0,13401741,0,12042383,0,129961,0,2381572,0,14012808,0,205237,0,6813582,0,2959223,0,9537960,0,221008,0,537051,0,68696928,0,22817489,0,176632,0,22456331,0,40346044,0,17889713,0,19019809,0,4530190,0,2858166,0,162251,0,13139491,0,4562877,0,4496442,0,53730,0,101736,0,85056,0,28668,0,4347273,0,8081569,0,97189
2007,1,1,7,0,47154,0,724091890,0,85970677,0,153538646,0,2909222,0,129262756,0,4806301,0,3662016,0,52697695,0,7599986,0,6646606,0,91374805,0,283532741,0,154303373,0,2562893,0,1096902,0,24192097,0,26717547,0,7732734,0,17569355,0,724091890,0,96753760,0,104113038,0,83163985,0,29703898,0,134697315,0,24664483,0,250995412,0,62029335,0,161049327,0,1597953,0,38847730,0,12528932,0,1333505031,0,1300286764,0,4837782,0,358180,0,1319482,0,595097,0,441581,0,3037498,0,2284123,0,301413,0,96232,0,19946879,0,1299953569,0,945882968,0,23970682,0,115712526,0,5841599,0,2688925,0,23118156,0,21565155,0,14758862,0,197596,0,2216459,0,19030400,0,265359,0,9359442,0,3993186,0,13767614,0,267380,0,753004,0,96564254,0,33551462,0,82787,0,33276069,0,58080933,0,24804864,0,30024481,0,4463280,0,3418689,0,234952,0,16649770,0,5733544,0,5663899,0,60071,0,57220,0,97002,0,32536,0,5546787,0,4897728,0,123072
2007,1,1,6,0,72892,0,507045618,0,65034020,0,105367167,0,1610015,0,99528890,0,929408,0,1529985,0,38243263,0,6774086,0,3471205,0,50501447,0,221737226,0,125217018,0,1230577,0,425765,0,19608199,0,15909508,0,5600707,0,10034142,0,507045618,0,69424638,0,71960518,0,51964279,0,26968880,0,103060481,0,17959057,0,165707764,0,41402652,0,103704487,0,704430,0,29238205,0,9342010,0,1038870587,0,1017397128,0,2356123,0,335091,0,643466,0,307332,0,157968,0,2480821,0,1590758,0,137626,0,39736,0,13424537,0,1013311471,0,720900513,0,24638877,0,92251988,0,5397444,0,2162878,0,20411022,0,19005984,0,11029792,0,126495,0,1300939,0,14252981,0,144548,0,7230494,0,3516196,0,10232496,0,152789,0,616344,0,79939693,0,25559116,0,20046,0,25244070,0,44501725,0,19257655,0,24912080,0,3007884,0,2129694,0,100255,0,10007728,0,3405901,0,3361004,0,38899,0,29357,0,60916,0,16396,0,3299232,0,2858961,0,38251
2007,1,1,5,0,426320,0,898589290,0,126711643,0,165224149,0,1771313,0,135254202,0,1576479,0,1463668,0,67559864,0,20657811,0,7956464,0,72677961,0,497300052,0,289117529,0,1572700,0,922401,0,53603243,0,33916868,0,13926076,0,18851503,0,898589290,0,114610709,0,97428049,0,87958510,0,87353392,0,218289110,0,33540539,0,259408982,0,66405665,0,156236258,0,2920855,0,55478431,0,21632226,0,1894492226,0,1852023260,0,4938705,0,222888,0,1268111,0,503096,0,262635,0,4100012,0,3516966,0,423320,0,8493,0,27224741,0,1846436388,0,1172000077,0,75491362,0,202383328,0,13597537,0,4636391,0,49286612,0,40854741,0,21512837,0,285520,0,2510803,0,28927574,0,186679,0,14774644,0,8371728,0,19576920,0,185980,0,940810,0,190912847,0,48055838,0,12042,0,47844992,0,85743189,0,37898197,0,48752872,0,5484458,0,4795881,0,315917,0,15577355,0,4762487,0,4727708,0,24838,0,22008,0,97959,0,14825,0,4627693,0,3853385,0,37217
2007,1,1,4,0,383182,0,269068601,0,45563991,0,39241176,0,557504,0,35761899,0,193896,0,264635,0,16172845,0,10792166,0,2245923,0,16240163,0,192033669,0,123085937,0,636014,0,310628,0,17835998,0,16271831,0,6065416,0,5833882,0,269068601,0,30472757,0,22759385,0,22620877,0,38393793,0,75261010,0,8463343,0,71097438,0,22213472,0,47722043,0,1723712,0,7722585,0,8284374,0,650900856,0,637346678,0,941686,0,40343,0,642562,0,190687,0,47306,0,1037039,0,1597974,0,159282,0,5997,0,8891301,0,630159749,0,339447526,0,37413063,0,80211327,0,6251106,0,1281014,0,22630646,0,16416607,0,6914420,0,94857,0,1055444,0,10583961,0,36116,0,6121541,0,3151904,0,6382503,0,30167,0,229883,0,91907664,0,20741106,1,2107,0,20702870,0,34222442,0,13519572,0,20950854,0,2140775,0,1983293,0,123738,0,4292444,0,1056323,0,1050988,0,2930,0,1947,0,35321,0,1653,0,1017402,0,1344951,1,62392
