YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2009,1,1,13,0,2604,0,61462549435,0,3779633891,0,10205589883,0,252199113,0,622699067,0,2120124378,0,1235436999,0,4401841195,0,613201594,0,4414979840,0,22813582366,0,5753813425,0,2563696145,0,491931948,0,219157980,0,230723689,0,3322568725,0,504128393,0,4995604064,0,61462549435,0,4539137384,0,3821420229,0,15447513929,0,679942539,0,8559039344,0,7863926790,0,20551569220,0,1900770271,0,17591771511,0,159281773,0,2477022101,0,1577276435,0,12501876197,0,10033610211,0,1271157126,0,38043209,0,99897248,0,130408703,0,15528811,0,40304385,0,44110427,0,20461654,0,93881748,0,714472676,0,11967433799,0,6372541611,0,32070344,0,1035546470,0,80916687,0,298301037,0,150166368,0,218825224,0,834103167,0,10111944,0,126222411,0,432069873,0,15874905,0,130189442,0,106155915,0,174944708,0,10746775,0,53680948,0,1884965969,0,534442398,0,137618764,0,634017953,0,916245281,0,282227328,0,4520562,0,284897660,0,80684314,0,13359625,0,654214641,0,231284389,0,228776366,0,2414039,0,85140320,0,11067801,0,933418,0,133973809,0,444580959,0,1011236
2009,1,1,12,0,6386,0,7181228635,0,310465440,0,940472235,0,26544330,0,201666703,0,234946936,0,329965894,0,292105292,0,14692319,0,259560831,0,3089969502,0,1146072581,0,529545623,0,86339969,0,35667624,0,75874226,0,658252243,0,129185113,0,261787156,0,7181228635,0,443469554,0,223639693,0,1191729649,0,46380600,0,919804790,0,445075796,0,3911128554,0,509044665,0,3849907535,0,19779308,0,-310381692,0,157221261,0,2708327325,0,2419732143,0,102248513,0,13426140,0,15877346,0,19921941,0,4228906,0,6893582,0,7172637,0,1098426,0,7719732,0,110007960,0,2623222135,0,1516954757,0,17320862,0,299247582,0,17856867,0,30754077,0,53746774,0,52731381,0,91570684,0,1253646,0,29562974,0,93214576,0,3290027,0,27617279,0,16086411,0,44693372,0,1541864,0,15692741,0,310086259,0,85105191,0,9093514,0,80772564,0,178583895,0,97811330,0,9784388,0,73166384,0,16873441,0,931843,0,91989958,0,32514819,0,32139264,0,322677,0,4605461,0,1328782,0,225892,0,26347220,0,71769379,0,644036
2009,1,1,11,0,5120,0,1852957407,0,107621257,0,359715798,0,9172057,0,68876533,0,63197771,0,83586556,0,76351305,0,2964615,0,78022616,0,674180353,0,305160603,0,150204710,0,15089013,0,6964561,0,20880286,0,140063015,0,26267296,0,49856310,0,1852957407,0,133592489,0,60409047,0,429155816,0,16248506,0,218900836,0,98997569,0,895653144,0,133505481,0,906010834,0,4105244,0,-122472725,0,25495690,0,882848142,0,803280934,0,27555315,0,3750309,0,4508329,0,2973662,0,1140504,0,1960245,0,1869893,0,342468,0,2238199,0,33228285,0,866038460,0,524992827,0,7383703,0,89415744,0,5266839,0,9479035,0,18389323,0,15717701,0,25888075,0,248532,0,8997797,0,24506282,0,616779,0,8308932,0,3810009,0,13234870,0,486695,0,9109581,0,100185734,0,16809682,0,1169597,0,14228970,0,50038878,0,35809908,0,5965427,0,16283055,0,4325091,0,262508,0,24838282,0,8748596,0,8654179,0,80605,0,935277,0,258032,0,61626,0,7491953,0,15958473,0,78906
2009,1,1,10,0,9651,0,1547193276,0,109459235,0,342976448,0,9157609,0,79700867,0,50620495,0,59578321,0,74123204,0,2791613,0,51464403,0,460475867,0,327114882,0,166621033,0,16896671,0,8946873,0,22446774,0,112302786,0,23348476,0,45315702,0,1547193276,0,132349309,0,64704507,0,365935047,0,18360022,0,198414695,0,80335212,0,687094484,0,113370208,0,663383433,0,3328630,0,-73305811,0,19681976,0,915709462,0,850661973,0,19326834,0,2933604,0,4521315,0,2138644,0,806962,0,1874700,0,1836182,0,392321,0,965959,0,30250968,0,896702797,0,554143067,0,10428400,0,98567817,0,5444525,0,7681996,0,18464718,0,16508868,0,22154101,0,259634,0,7040441,0,25697089,0,557028,0,8842565,0,3490983,0,13546959,0,415784,0,3320778,0,100138044,0,19006664,0,730511,0,16803572,0,48572543,0,31768971,0,11398293,0,12717775,0,5033249,0,288069,0,20444964,0,7170448,0,7073408,0,89016,0,482595,0,201483,0,55175,0,6429727,0,15802745,0,246796
2009,1,1,9,0,10398,0,737471326,0,71010118,0,153108831,0,4759855,0,60034803,0,18095257,0,16640792,0,45009733,0,3481802,0,16126154,0,171760682,0,217911306,0,115203182,0,5121599,0,2383250,0,16329507,0,55996949,0,13144168,0,22334247,0,737471326,0,71903407,0,47603335,0,149369463,0,14623215,0,113273531,0,60206638,0,280491737,0,61875009,0,276503018,0,1518130,0,-48164475,0,11239946,0,691981529,0,658745126,0,7086642,0,919084,0,1775496,0,1096433,0,332187,0,1158876,0,1230657,0,157889,0,405817,0,19073321,0,685961756,0,438049978,0,9574363,0,72696807,0,3763846,0,5115195,0,13558430,0,12533622,0,11673261,0,141745,0,4086064,0,17309856,0,277953,0,6160291,0,2510951,0,9964601,0,231339,0,3419582,0,74893872,0,6019773,0,338413,0,5439102,0,33064920,0,27625818,0,11521739,0,5226007,0,3317522,0,122915,0,12208736,0,4257076,0,4200437,0,48222,0,203993,0,99150,0,28365,0,3925114,0,5829255,0,111620
2009,1,1,8,0,15965,0,560423177,0,61388297,0,108012400,0,3839819,0,66153038,0,7328451,0,6139244,0,38144418,0,4872133,0,6390168,0,109937649,0,209618725,0,115404305,0,4641907,0,1731362,0,16094873,0,34767227,0,9769911,0,17680044,0,560423177,0,61055120,0,48780162,0,80293806,0,18256134,0,96328414,0,28690562,0,227018978,0,53147774,0,203228756,0,1307267,0,-22304266,0,8360553,0,723251528,0,702665422,0,2934995,0,394252,0,1240698,0,524640,0,481669,0,1016699,0,1081680,0,155405,0,233219,0,12522848,0,718265075,0,493945983,0,10897959,0,69300187,0,3387279,0,3310825,0,14248336,0,12220996,0,8808975,0,106029,0,2722320,0,15864819,0,189322,0,5707755,0,2264749,0,9049921,0,158116,0,4529072,0,61552433,0,4986453,0,158186,0,4750386,0,29879847,0,25129461,0,12904770,0,2867896,0,1942978,0,123486,0,8968021,0,3101501,0,3058487,0,34372,0,99732,0,95959,0,22405,0,2883171,0,4145279,0,59596
2009,1,1,7,0,42016,0,647860693,0,84709668,0,126898297,0,3709301,0,96084944,0,3235514,0,3275723,0,45613668,0,7732281,0,5460371,0,91554171,0,283681664,0,163348634,0,3586257,0,1413500,0,24511528,0,31074334,0,10492700,0,19406408,0,647860693,0,79052921,0,71743865,0,71076321,0,31332287,0,120806600,0,28656270,0,245192430,0,62343180,0,169508431,0,1433554,0,24049835,0,12142571,0,1048295114,0,1024924103,0,2031086,0,258219,0,1378531,0,448143,0,202328,0,1231833,0,1538125,0,172476,0,139338,0,15970933,0,1033941430,0,718410560,0,20273563,0,103003636,0,5141896,0,3896045,0,21563594,0,18948958,0,9593368,0,121347,0,2508542,0,19434206,0,298507,0,7490780,0,3428335,0,13206943,0,181307,0,1852515,0,84587328,0,14353685,0,157762,0,14253228,0,43368750,0,29115522,0,21553857,0,3378011,0,2818444,0,129372,0,9865465,0,3400714,0,3349240,0,39063,0,77849,0,66118,0,19514,0,3237222,0,4167142,0,55752
2009,1,1,6,0,67655,0,471963089,0,64868742,0,88130058,0,1860148,0,79630422,0,1557811,0,1483473,0,33419304,0,7710803,0,2821751,0,51665503,0,229479213,0,134504446,0,1924463,0,814969,0,22929490,0,19103553,0,6502765,0,10920832,0,471963089,0,58725965,0,55840069,0,43727393,0,28721117,0,102437837,0,21629456,0,160881253,0,43688553,0,109435259,0,926653,0,17561496,0,10730708,0,851829266,0,833920733,0,1288484,0,135158,0,731708,0,278880,0,60425,0,736466,0,1130701,0,85894,0,50131,0,13410685,0,841787745,0,573227932,0,22552957,0,86200840,0,4547130,0,3140827,0,19330177,0,15583191,0,8111360,0,102310,0,1479189,0,14599873,0,64591,0,6587517,0,2893266,0,9901453,0,118078,0,1030187,0,72316868,0,10041521,0,27560,0,9933923,0,33393708,0,23459785,0,16652097,0,1762814,0,1556275,0,62088,0,6206239,0,2088647,0,2063836,0,21458,0,27056,0,47717,0,11650,0,2002226,0,1795451,0,311238
2009,1,1,5,0,409100,0,867428626,0,127765957,0,150209292,0,2326964,0,124861029,0,1295485,0,936909,0,62537808,0,21642482,0,7667414,0,75727593,0,526514758,0,325344091,0,1967932,0,1015524,0,54611324,0,36205265,0,14547288,0,18719244,0,867428626,0,108078372,0,85149202,0,83836487,0,91717098,0,219457669,0,33984241,0,245205556,0,70336902,0,171851443,0,3372184,0,21754096,0,22109069,0,1706916678,0,1673145859,0,2022124,0,187563,0,1447210,0,365829,0,193768,0,1681543,0,2679812,0,320864,0,44488,0,24827617,0,1679584094,0,1041124048,0,65071951,0,198969201,0,12214692,0,6142142,0,49678508,0,35995237,0,15647765,0,220050,0,2745410,0,28794662,0,97893,0,13296140,0,6553377,0,19371470,0,175490,0,2187485,0,181298572,0,27332584,0,20750,0,27165772,0,72718071,0,45552299,0,37375983,0,3841229,0,3433189,0,261056,0,11116234,0,3154905,0,3125133,0,16837,0,23252,0,72637,0,14699,0,3042897,0,4114394,1,103177
2009,1,1,4,0,370940,0,260582744,0,45489920,0,34297423,0,486582,0,32923986,0,86235,0,207831,0,17121106,0,11368800,0,2163230,0,17291939,0,194893028,0,129833356,0,417649,0,211636,0,18456603,0,16407585,0,6098093,0,6087076,0,260582744,0,26492914,0,23226822,0,22541105,0,40981255,0,69231475,0,8379441,0,69729731,0,21540995,0,51858904,0,1902804,0,2678175,0,8251147,0,576662988,0,562959961,0,523168,0,30318,0,721988,0,77858,0,10336,0,623455,0,844833,0,70492,0,33418,0,10767160,0,563514826,0,296173011,0,36687684,0,77338665,0,5902029,0,1575755,0,22638887,0,15495448,0,5155363,0,69914,0,1058075,0,9983446,0,35446,0,5266467,0,3080510,0,6720591,0,27711,0,392583,0,75913241,0,13148162,0,12438,0,13130283,0,29407224,0,16276942,0,15415572,0,1611473,0,1545980,0,61464,0,3273469,0,775404,0,774375,0,1198,0,10321,0,30486,0,343,0,734254,0,933968,1,776
